<title>/IN --> IN/IN
24/CD --> 24/CD
Mother/NNP --> Mother/NNP
Holle/NNP --> Holle/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
widow/NN --> widow/NN
who/WP --> who/WP
had/VBD --> have/VBD
two/CD --> two/CD
daughters/NNS --> daughter/NNS
--/: --> --/:
one/CD --> one/CD
of/IN --> of/IN
whom/WP --> whom/WP
was/VBD --> be/VBD
pretty/RB --> pretty/RB
and/CC --> and/CC
industrious/JJ --> industrious/JJ
,/, --> ,/,
whilst/IN --> whilst/IN
the/DT --> the/DT
other/JJ --> other/JJ
was/VBD --> be/VBD
ugly/JJ --> ugly/JJ
and/CC --> and/CC
idle/JJ --> idle/JJ
./. --> ./.
But/CC --> but/CC
she/PRP --> she/PRP
was/VBD --> be/VBD
much/JJ --> much/JJ
fonder/NN --> fonder/NN
of/IN --> of/IN
the/DT --> the/DT
ugly/JJ --> ugly/JJ
and/CC --> and/CC
idle/JJ --> idle/JJ
one/CD --> one/CD
,/, --> ,/,
because/IN --> because/IN
she/PRP --> she/PRP
was/VBD --> be/VBD
her/PRP$ --> she/PRP$
own/JJ --> own/JJ
daughter/NN --> daughter/NN
;/: --> ;/:
and/CC --> and/CC
the/DT --> the/DT
other/JJ --> other/JJ
,/, --> ,/,
who/WP --> who/WP
was/VBD --> be/VBD
a/DT --> a/DT
step-daughter/NN --> step-daughter/NN
,/, --> ,/,
was/VBD --> be/VBD
obliged/VBN --> oblige/VBN
to/TO --> to/TO
do/VB --> do/VB
all/PDT --> all/PDT
the/DT --> the/DT
work/NN --> work/NN
,/, --> ,/,
and/CC --> and/CC
be/VB --> be/VB
the/DT --> the/DT
Cinderella/NNP --> Cinderella/NNP
of/IN --> of/IN
the/DT --> the/DT
house/NN --> house/NN
./. --> ./.
Every/DT --> every/DT
day/NN --> day/NN
the/DT --> the/DT
poor/JJ --> poor/JJ
girl/NN --> girl/NN
had/VBD --> have/VBD
to/TO --> to/TO
sit/VB --> sit/VB
by/IN --> by/IN
a/DT --> a/DT
well/RB --> well/RB
,/, --> ,/,
in/IN --> in/IN
the/DT --> the/DT
highway/NN --> highway/NN
,/, --> ,/,
and/CC --> and/CC
