<title>/IN --> IN/IN
THE/DT --> the/DT
DEMON/NN --> demon/NN
WITH/IN --> with/IN
THE/DT --> the/DT
MATTED/NNP --> MATTED/NNP
HAIR/NNP --> HAIR/NNP
</title>/VBD --> VBD/VBD
<author>/NNP --> NNP/NNP
Indian/NNP --> Indian/NNP
Writer/NNP --> Writer/NNP
</author>/NNP --> NNP/NNP
_/VBD --> _/VBD
This/DT --> this/DT
story/NN --> story/NN
the/DT --> the/DT
Teacher/NN --> teacher/NN
told/VBD --> tell/VBD
in/IN --> in/IN
Jetavana/NNP --> Jetavana/NNP
about/IN --> about/IN
a/DT --> a/DT
Brother/NN --> brother/NN
who/WP --> who/WP
had/VBD --> have/VBD
ceased/VBN --> cease/VBN
striving/VBG --> strive/VBG
after/IN --> after/IN
righteousness/NN --> righteousness/NN
./. --> ./.
Said/NNP --> Said/NNP
the/DT --> the/DT
Teacher/NN --> teacher/NN
to/TO --> to/TO
him/PRP --> he/PRP
:/: --> :/:
``/`` --> ``/``
Is/VBZ --> be/VBZ
it/PRP --> it/PRP
really/RB --> really/RB
true/JJ --> true/JJ
that/IN --> that/IN
you/PRP --> you/PRP
have/VBP --> have/VBP
ceased/VBN --> cease/VBN
all/DT --> all/DT
striving/VBG --> strive/VBG
?/. --> ?/.
''/'' --> ''/''
--/: --> --/:
``/`` --> ``/``
Yes/NNP --> Yes/NNP
,/, --> ,/,
Blessed/NNP --> Blessed/NNP
One/CD --> one/CD
,/, --> ,/,
''/'' --> ''/''
he/PRP --> he/PRP
replied/VBD --> reply/VBD
./. --> ./.
Then/RB --> then/RB
the/DT --> the/DT
Teacher/NN --> teacher/NN
said/VBD --> say/VBD
:/: --> :/:
``/`` --> ``/``
O/NNP --> O/NNP
Brother/NNP --> Brother/NNP
,/, --> ,/,
in/IN --> in/IN
former/JJ --> former/JJ
days/NNS --> day/NNS
wise/JJ --> wise/JJ
men/NNS --> man/NNS
made/VBD --> make/VBD
effort/NN --> effort/NN
in/IN --> in/IN
the/DT --> the/DT
place/NN --> place/NN
where/WRB --> where/WRB
effort/NN --> effort/NN
should/MD --> should/MD
be/VB --> be/VB
