<title>/IN --> IN/IN
62/CD --> 62/CD
The/DT --> the/DT
Queen/NNP --> Queen/NNP
Bee/NNP --> Bee/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
Two/CD --> two/CD
kings/NNS --> king/NNS
'/POS --> '/POS
sons/NNS --> son/NNS
once/RB --> once/RB
went/VBD --> go/VBD
out/RP --> out/RP
in/IN --> in/IN
search/NN --> search/NN
of/IN --> of/IN
adventures/NNS --> adventure/NNS
,/, --> ,/,
and/CC --> and/CC
fell/VBD --> fall/VBD
into/IN --> into/IN
a/DT --> a/DT
wild/JJ --> wild/JJ
,/, --> ,/,
disorderly/JJ --> disorderly/JJ
way/NN --> way/NN
of/IN --> of/IN
living/NN --> living/NN
,/, --> ,/,
so/RB --> so/RB
that/IN --> that/IN
they/PRP --> they/PRP
never/RB --> never/RB
came/VBD --> come/VBD
home/NN --> home/NN
again/RB --> again/RB
./. --> ./.
The/DT --> the/DT
youngest/JJS --> youngest/JJS
,/, --> ,/,
who/WP --> who/WP
was/VBD --> be/VBD
called/VBN --> call/VBN
Simpleton/NNP --> Simpleton/NNP
,/, --> ,/,
set/VBN --> set/VBN
out/RP --> out/RP
to/TO --> to/TO
seek/VB --> seek/VB
his/PRP$ --> he/PRP$
brothers/NNS --> brother/NNS
,/, --> ,/,
but/CC --> but/CC
when/WRB --> when/WRB
at/IN --> at/IN
length/NN --> length/NN
he/PRP --> he/PRP
found/VBD --> find/VBD
them/PRP --> they/PRP
they/PRP --> they/PRP
mocked/VBD --> mock/VBD
him/PRP --> he/PRP
for/IN --> for/IN
thinking/VBG --> think/VBG
that/IN --> that/IN
he/PRP --> he/PRP
with/IN --> with/IN
his/PRP$ --> he/PRP$
simplicity/NN --> simplicity/NN
could/MD --> could/MD
get/VB --> get/VB
through/IN --> through/IN
the/DT --> the/DT
world/NN --> world/NN
,/, --> ,/,
when/WRB --> when/WRB
they/PRP --> they/PRP
two/CD --> two/CD
could/MD --> could/MD
not/RB --> not/RB
make/VB --> make/VB
their/PRP$ --> they/PRP$
way/NN --> way/NN
,/, --> ,/,
and/CC --> and/CC
yet/RB --> yet/RB
were/VBD --> be/VBD
so/RB --> so/RB
much/JJ --> much/JJ
cleverer/NN --> cleverer/NN
./. --> ./.
They/PRP --> they/PRP
all/DT --> all/DT
three/CD --> three/CD
traveled/VBN --> travel/VBN
away/RB --> away/RB
together/RB --> together/RB
,/, --> ,/,
and/CC --> and/CC
came/VBD --> come/VBD
to/TO --> to/TO
an/DT --> a/DT
ant-hill/NN --> ant-hill/NN
./. --> ./.
The/DT --> the/DT
two/CD --> two/CD
elder/JJR --> elder/JJR
wanted/VBD --> want/VBD
to/TO --> to/TO
destroy/VB --> destroy/VB
it/PRP --> it/PRP
,/, --> ,/,
to/TO --> to/TO
see/VB --> see/VB
the/DT --> the/DT
little/JJ --> little/JJ
ants/NNS --> ant/NNS
creeping/VBG --> creep/VBG
about/IN --> about/IN
in/IN --> in/IN
their/PRP$ --> they/PRP$
terror/NN --> terror/NN
,/, --> ,/,
and/CC --> and/CC
carrying/VBG --> carry/VBG
their/PRP$ --> they/PRP$
eggs/NNS --> egg/NNS
away/RB --> away/RB
,/, --> ,/,
but/CC --> but/CC
Simpleton/NNP --> Simpleton/NNP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Leave/VB --> leave/VB
the/DT --> the/DT
creatures/NNS --> creature/NNS
in/IN --> in/IN
peace/NN --> peace/NN
;/: --> ;/:
I/PRP --> I/PRP
will/MD --> will/MD
not/RB --> not/RB
allow/VB --> allow/VB
you/PRP --> you/PRP
to/TO --> to/TO
disturb/VB --> disturb/VB
them/PRP --> they/PRP
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
they/PRP --> they/PRP
went/VBD --> go/VBD
onwards/NNS --> onward/NNS
and/CC --> and/CC
came/VBD --> come/VBD
to/TO --> to/TO
a/DT --> a/DT
lake/NN --> lake/NN
,/, --> ,/,
on/IN --> on/IN
which/WDT --> which/WDT
a/DT --> a/DT
great/JJ --> great/JJ
number/NN --> number/NN
of/IN --> of/IN
ducks/NNS --> duck/NNS
were/VBD --> be/VBD
swimming/NN --> swimming/NN
./. --> ./.
The/DT --> the/DT
two/CD --> two/CD
brothers/NNS --> brother/NNS
wanted/VBD --> want/VBD
to/TO --> to/TO
catch/VB --> catch/VB
a/DT --> a/DT
couple/NN --> couple/NN
and/CC --> and/CC
roast/NN --> roast/NN
them/PRP --> they/PRP
,/, --> ,/,
but/CC --> but/CC
Simpleton/NNP --> Simpleton/NNP
would/MD --> would/MD
not/RB --> not/RB
permit/VB --> permit/VB
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Leave/VB --> leave/VB
the/DT --> the/DT
creatures/NNS --> creature/NNS
in/IN --> in/IN
peace/NN --> peace/NN
,/, --> ,/,
I/PRP --> I/PRP
will/MD --> will/MD
not/RB --> not/RB
suffer/VB --> suffer/VB
you/PRP --> you/PRP
to/TO --> to/TO
kill/VB --> kill/VB
them/PRP --> they/PRP
./. --> ./.
''/'' --> ''/''
At/IN --> at/IN
length/NN --> length/NN
they/PRP --> they/PRP
came/VBD --> come/VBD
to/TO --> to/TO
a/DT --> a/DT
bee/NN --> bee/NN
's/POS --> 's/POS
nest/NN --> nest/NN
,/, --> ,/,
in/IN --> in/IN
which/WDT --> which/WDT
there/EX --> there/EX
was/VBD --> be/VBD
so/RB --> so/RB
much/JJ --> much/JJ
honey/NN --> honey/NN
that/IN --> that/IN
it/PRP --> it/PRP
ran/VBD --> run/VBD
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
trunk/NN --> trunk/NN
of/IN --> of/IN
the/DT --> the/DT
tree/NN --> tree/NN
where/WRB --> where/WRB
it/PRP --> it/PRP
was/VBD --> be/VBD
./. --> ./.
The/DT --> the/DT
two/CD --> two/CD
wanted/VBD --> want/VBD
to/TO --> to/TO
make/VB --> make/VB
a/DT --> a/DT
fire/NN --> fire/NN
beneath/IN --> beneath/IN
the/DT --> the/DT
tree/NN --> tree/NN
,/, --> ,/,
and/CC --> and/CC
suffocate/VB --> suffocate/VB
the/DT --> the/DT
bees/NNS --> bee/NNS
in/IN --> in/IN
order/NN --> order/NN
to/TO --> to/TO
take/VB --> take/VB
away/RP --> away/RP
the/DT --> the/DT
honey/NN --> honey/NN
,/, --> ,/,
but/CC --> but/CC
Simpleton/NNP --> Simpleton/NNP
again/RB --> again/RB
stopped/VBD --> stop/VBD
them/PRP --> they/PRP
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Leave/VB --> leave/VB
the/DT --> the/DT
creatures/NNS --> creature/NNS
in/IN --> in/IN
peace/NN --> peace/NN
,/, --> ,/,
I/PRP --> I/PRP
will/MD --> will/MD
not/RB --> not/RB
allow/VB --> allow/VB
you/PRP --> you/PRP
to/TO --> to/TO
burn/VB --> burn/VB
them/PRP --> they/PRP
./. --> ./.
''/'' --> ''/''
At/IN --> at/IN
length/NN --> length/NN
the/DT --> the/DT
three/CD --> three/CD
brothers/NNS --> brother/NNS
arrived/VBD --> arrive/VBD
at/IN --> at/IN
a/DT --> a/DT
castle/NN --> castle/NN
where/WRB --> where/WRB
stone/NN --> stone/NN
horses/NNS --> horse/NNS
were/VBD --> be/VBD
standing/VBG --> stand/VBG
in/IN --> in/IN
the/DT --> the/DT
stables/NNS --> stable/NNS
,/, --> ,/,
and/CC --> and/CC
no/DT --> no/DT
human/JJ --> human/JJ
being/NN --> being/NN
was/VBD --> be/VBD
to/TO --> to/TO
be/VB --> be/VB
seen/VBN --> see/VBN
,/, --> ,/,
and/CC --> and/CC
they/PRP --> they/PRP
went/VBD --> go/VBD
through/IN --> through/IN
all/PDT --> all/PDT
the/DT --> the/DT
halls/NNS --> hall/NNS
until/IN --> until/IN
,/, --> ,/,
quite/RB --> quite/RB
at/IN --> at/IN
the/DT --> the/DT
end/NN --> end/NN
,/, --> ,/,
they/PRP --> they/PRP
came/VBD --> come/VBD
