<title>/IN --> IN/IN
25/CD --> 25/CD
The/DT --> the/DT
Seven/CD --> seven/CD
Ravens/NNP --> Ravens/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
man/NN --> man/NN
who/WP --> who/WP
had/VBD --> have/VBD
seven/CD --> seven/CD
sons/NNS --> son/NNS
,/, --> ,/,
and/CC --> and/CC
still/RB --> still/RB
he/PRP --> he/PRP
had/VBD --> have/VBD
no/DT --> no/DT
daughter/NN --> daughter/NN
,/, --> ,/,
however/RB --> however/RB
much/RB --> much/RB
he/PRP --> he/PRP
wished/VBD --> wish/VBD
for/IN --> for/IN
one/CD --> one/CD
./. --> ./.
At/IN --> at/IN
length/NN --> length/NN
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
again/RB --> again/RB
gave/VBD --> give/VBD
him/PRP --> he/PRP
hope/NN --> hope/NN
of/IN --> of/IN
a/DT --> a/DT
child/NN --> child/NN
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
it/PRP --> it/PRP
came/VBD --> come/VBD
into/IN --> into/IN
the/DT --> the/DT
world/NN --> world/NN
it/PRP --> it/PRP
was/VBD --> be/VBD
a/DT --> a/DT
girl/NN --> girl/NN
./. --> ./.
The/DT --> the/DT
joy/NN --> joy/NN
was/VBD --> be/VBD
great/JJ --> great/JJ
,/, --> ,/,
but/CC --> but/CC
the/DT --> the/DT
child/NN --> child/NN
was/VBD --> be/VBD
sickly/RB --> sickly/RB
and/CC --> and/CC
small/JJ --> small/JJ
,/, --> ,/,
and/CC --> and/CC
had/VBD --> have/VBD
to/TO --> to/TO
be/VB --> be/VB
privately/RB --> privately/RB
baptized/VBN --> baptize/VBN
on/IN --> on/IN
account/NN --> account/NN
of/IN --> of/IN
its/PRP$ --> its/PRP$
weakness/NN --> weakness/NN
./. --> ./.
The/DT --> the/DT
father/NN --> father/NN
sent/VBD --> send/VBD
one/CD --> one/CD
of/IN --> of/IN
the/DT --> the/DT
boys/NNS --> boy/NNS
in/IN --> in/IN
haste/NN --> haste/NN
to/TO --> to/TO
the/DT --> the/DT
spring/NN --> spring/NN
to/TO --> to/TO
fetch/VB --> fetch/VB
water/NN --> water/NN
for/IN --> for/IN
the/DT --> the/DT
baptism/NN --> baptism/NN
./. --> ./.
The/DT --> the/DT
other/JJ --> other/JJ
six/CD --> six/CD
went/VBD --> go/VBD
with/IN --> with/IN
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
as/IN --> as/IN
each/DT --> each/DT
of/IN --> of/IN
them/PRP --> they/PRP
wanted/VBD --> want/VBD
to/TO --> to/TO
be/VB --> be/VB
first/JJ --> first/JJ
to/TO --> to/TO
fill/VB --> fill/VB
it/PRP --> it/PRP
,/, --> ,/,
the/DT --> the/DT
jug/NN --> jug/NN
fell/VBD --> fall/VBD
into/IN --> into/IN
the/DT --> the/DT
well/NN --> well/NN
./. --> ./.
There/EX --> there/EX
they/PRP --> they/PRP
stood/VBD --> stand/VBD
and/CC --> and/CC
did/VBD --> do/VBD
not/RB --> not/RB
know/VB --> know/VB
what/WP --> what/WP
to/TO --> to/TO
do/VB --> do/VB
,/, --> ,/,
and/CC --> and/CC
none/NN --> none/NN
of/IN --> of/IN
them/PRP --> they/PRP
dared/VBD --> dare/VBD
to/TO --> to/TO
go/VB --> go/VB
home/NN --> home/NN
./. --> ./.
As/IN --> as/IN
they/PRP --> they/PRP
still/RB --> still/RB
did/VBD --> do/VBD
not/RB --> not/RB
return/VB --> return/VB
,/, --> ,/,
the/DT --> the/DT
father/NN --> father/NN
grew/VBD --> grow/VBD
impatient/NN --> impatient/NN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
They/PRP --> they/PRP
have/VBP --> have/VBP
certainly/RB --> certainly/RB
forgotten/VBN --> forget/VBN
it/PRP --> it/PRP
for/IN --> for/IN
some/DT --> some/DT
game/NN --> game/NN
,/, --> ,/,
the/DT --> the/DT
wicked/JJ --> wicked/JJ
boys/NNS --> boy/NNS
!/. --> !/.
''/'' --> ''/''
He/PRP --> he/PRP
became/VBD --> become/VBD
afraid/JJ --> afraid/JJ
that/IN --> that/IN
the/DT --> the/DT
girl/NN --> girl/NN
would/MD --> would/MD
have/VB --> have/VB
to/TO --> to/TO
die/VB --> die/VB
without/IN --> without/IN
being/VBG --> be/VBG
baptized/VBN --> baptize/VBN
,/, --> ,/,
and/CC --> and/CC
in/IN --> in/IN
his/PRP$ --> he/PRP$
anger/NN --> anger/NN
cried/VBD --> cry/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
wish/VBP --> wish/VBP
the/DT --> the/DT
boys/NNS --> boy/NNS
were/VBD --> be/VBD
all/DT --> all/DT
turned/VBN --> turn/VBN
into/IN --> into/IN
ravens/NNS --> raven/NNS
./. --> ./.
''/'' --> ''/''
Hardly/RB --> hardly/RB
was/VBD --> be/VBD
the/DT --> the/DT
word/NN --> word/NN
spoken/VBN --> speak/VBN
before/IN --> before/IN
he/PRP --> he/PRP
heard/VBD --> hear/VBD
a/DT --> a/DT
whirring/VBG --> whir/VBG
of/IN --> of/IN
wings/NNS --> wing/NNS
over/IN --> over/IN
his/PRP$ --> he/PRP$
head/NN --> head/NN
in/IN --> in/IN
the/DT --> the/DT
air/NN --> air/NN
,/, --> ,/,
looked/VBD --> look/VBD
up/RP --> up/RP
and/CC --> and/CC
saw/VBD --> see/VBD
seven/CD --> seven/CD
coal-black/NN --> coal-black/NN
ravens/NNS --> raven/NNS
flying/VBG --> fly/VBG
away/RB --> away/RB
./. --> ./.
The/DT --> the/DT
parents/NNS --> parent/NNS
could/MD --> could/MD
not/RB --> not/RB
recall/VB --> recall/VB
the/DT --> the/DT
curse/NN --> curse/NN
,/, --> ,/,
and/CC --> and/CC
however/RB --> however/RB
sad/JJ --> sad/JJ
they/PRP --> they/PRP
were/VBD --> be/VBD
at/IN --> at/IN
the/DT --> the/DT
loss/NN --> loss/NN
of/IN --> of/IN
their/PRP$ --> they/PRP$
seven/CD --> seven/CD
sons/NNS --> son/NNS
,/, --> ,/,
they/PRP --> they/PRP
still/RB --> still/RB
to/TO --> to/TO
some/DT --> some/DT
extent/NN --> extent/NN
comforted/VBD --> comfort/VBD
themselves/PRP --> themselves/PRP
with/IN --> with/IN
their/PRP$ --> they/PRP$
dear/RB --> dear/RB
little/JJ --> little/JJ
daughter/NN --> daughter/NN
,/, --> ,/,
who/WP --> who/WP
soon/RB --> soon/RB
grew/VBD --> grow/VBD
