<title>/IN --> IN/IN
92/CD --> 92/CD
The/DT --> the/DT
King/NN --> king/NN
of/IN --> of/IN
the/DT --> the/DT
Golden/NNP --> Golden/NNP
Mountain/NNP --> Mountain/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
a/DT --> a/DT
certain/JJ --> certain/JJ
merchant/NN --> merchant/NN
who/WP --> who/WP
had/VBD --> have/VBD
two/CD --> two/CD
children/NNS --> child/NNS
,/, --> ,/,
a/DT --> a/DT
boy/NN --> boy/NN
and/CC --> and/CC
a/DT --> a/DT
girl/NN --> girl/NN
;/: --> ;/:
they/PRP --> they/PRP
were/VBD --> be/VBD
both/DT --> both/DT
young/JJ --> young/JJ
,/, --> ,/,
and/CC --> and/CC
could/MD --> could/MD
not/RB --> not/RB
walk/VB --> walk/VB
./. --> ./.
And/CC --> and/CC
two/CD --> two/CD
richly-laden/JJ --> richly-laden/JJ
ships/NNS --> ship/NNS
of/IN --> of/IN
his/PRP$ --> he/PRP$
sailed/VBN --> sail/VBN
forth/RB --> forth/RB
to/TO --> to/TO
sea/NN --> sea/NN
with/IN --> with/IN
all/DT --> all/DT
his/PRP$ --> he/PRP$
property/NN --> property/NN
on/IN --> on/IN
board/NN --> board/NN
,/, --> ,/,
and/CC --> and/CC
just/RB --> just/RB
as/IN --> as/IN
he/PRP --> he/PRP
was/VBD --> be/VBD
expecting/VBG --> expect/VBG
to/TO --> to/TO
win/VB --> win/VB
much/JJ --> much/JJ
money/NN --> money/NN
by/IN --> by/IN
them/PRP --> they/PRP
,/, --> ,/,
news/NN --> news/NN
came/VBD --> come/VBD
that/IN --> that/IN
they/PRP --> they/PRP
had/VBD --> have/VBD
gone/VBN --> go/VBN
to/TO --> to/TO
the/DT --> the/DT
bottom/NN --> bottom/NN
,/, --> ,/,
and/CC --> and/CC
now/RB --> now/RB
instead/RB --> instead/RB
of/IN --> of/IN
being/VBG --> be/VBG
a/DT --> a/DT
rich/JJ --> rich/JJ
man/NN --> man/NN
he/PRP --> he/PRP
was/VBD --> be/VBD
a/DT --> a/DT
poor/JJ --> poor/JJ
one/CD --> one/CD
,/, --> ,/,
and/CC --> and/CC
had/VBD --> have/VBD
nothing/NN --> nothing/NN
left/VBD --> leave/VBD
but/CC --> but/CC
one/CD --> one/CD
field/NN --> field/NN
outside/IN --> outside/IN
the/DT --> the/DT
town/NN --> town/NN
./. --> ./.
In/IN --> in/IN
order/NN --> order/NN
to/TO --> to/TO
drive/VB --> drive/VB
his/PRP$ --> he/PRP$
misfortune/NN --> misfortune/NN
a/DT --> a/DT
little/JJ --> little/JJ
out/IN --> out/IN
of/IN --> of/IN
his/PRP$ --> he/PRP$
thoughts/NNS --> thought/NNS
,/, --> ,/,
he/PRP --> he/PRP
went/VBD --> go/VBD
out/RB --> out/RB
to/TO --> to/TO
this/DT --> this/DT
field/NN --> field/NN
,/, --> ,/,
and/CC --> and/CC
as/IN --> as/IN
he/PRP --> he/PRP
was/VBD --> be/VBD
walking/VBG --> walk/VBG
forwards/RB --> forwards/RB
and/CC --> and/CC
backwards/RB --> backwards/RB
in/IN --> in/IN
it/PRP --> it/PRP
,/, --> ,/,
a/DT --> a/DT
little/JJ --> little/JJ
black/JJ --> black/JJ
mannikin/NN --> mannikin/NN
stood/VBD --> stand/VBD
suddenly/RB --> suddenly/RB
by/IN --> by/IN
his/PRP$ --> he/PRP$
side/NN --> side/NN
,/, --> ,/,
and/CC --> and/CC
asked/VBD --> ask/VBD
why/WRB --> why/WRB
he/PRP --> he/PRP
was/VBD --> be/VBD
so/RB --> so/RB
sad/JJ --> sad/JJ
,/, --> ,/,
and/CC --> and/CC
what/WP --> what/WP
he/PRP --> he/PRP
was/VBD --> be/VBD
taking/VBG --> take/VBG
so/RB --> so/RB
much/RB --> much/RB
to/TO --> to/TO
heart/NN --> heart/NN
./. --> ./.
Then/RB --> then/RB
said/VBD --> say/VBD
the/DT --> the/DT
merchant/NN --> merchant/NN
,/, --> ,/,
``/`` --> ``/``
If/IN --> if/IN
thou/NN --> thou/NN
couldst/NN --> couldst/NN
help/VB --> help/VB
me/PRP --> I/PRP
I/PRP --> I/PRP
would/MD --> would/MD
willingly/RB --> willingly/RB
tell/VB --> tell/VB
thee/NN --> thee/NN
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Who/WP --> who/WP
knows/VBZ --> know/VBZ
?/. --> ?/.
''/'' --> ''/''
replied/VBD --> reply/VBD
the/DT --> the/DT
black/JJ --> black/JJ
dwarf/NN --> dwarf/NN
./. --> ./.
``/`` --> ``/``
Perhaps/RB --> perhaps/RB
,/, --> ,/,
I/PRP --> I/PRP
can/MD --> can/MD
help/VB --> help/VB
thee/VB --> thee/VB
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
the/DT --> the/DT
merchant/NN --> merchant/NN
told/VBD --> tell/VBD
him/PRP --> he/PRP
that/IN --> that/IN
all/DT --> all/DT
he/PRP --> he/PRP
possessed/VBD --> possess/VBD
had/VBD --> have/VBD
gone/VBN --> go/VBN
to/TO --> to/TO
the/DT --> the/DT
bottom/NN --> bottom/NN
of/IN --> of/IN
the/DT --> the/DT
sea/NN --> sea/NN
,/, --> ,/,
and/CC --> and/CC
that/IN --> that/IN
he/PRP --> he/PRP
had/VBD --> have/VBD
nothing/NN --> nothing/NN
left/VBD --> leave/VBD
but/CC --> but/CC
this/DT --> this/DT
field/NN --> field/NN
./. --> ./.
``/`` --> ``/``
Do/VBP --> do/VBP
not/RB --> not/RB
trouble/NN --> trouble/NN
thyself/NN --> thyself/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
dwarf/NN --> dwarf/NN
./. --> ./.
``/`` --> ``/``
If/IN --> if/IN
thou/NN --> thou/NN
wilt/NN --> wilt/NN
promise/NN --> promise/NN
to/TO --> to/TO
give/VB --> give/VB
me/PRP --> I/PRP
the/DT --> the/DT
first/JJ --> first/JJ
thing/NN --> thing/NN
that/WDT --> that/WDT
rubs/VBZ --> rub/VBZ
itself/PRP --> itself/PRP
against/IN --> against/IN
thy/NN --> thy/NN
leg/NN --> leg/NN
when/WRB --> when/WRB
thou/NN --> thou/NN
art/NN --> art/NN
at/IN --> at/IN
home/NN --> home/NN
again/RB --> again/RB
,/, --> ,/,
and/CC --> and/CC
to/TO --> to/TO
bring/VB --> bring/VB
it/PRP --> it/PRP
here/RB --> here/RB
to/TO --> to/TO
this/DT --> this/DT
place/NN --> place/NN
in/IN --> in/IN
twelve/CD --> twelve/CD
years/NNS --> year/NNS
'/POS --> '/POS
time/NN --> time/NN
,/, --> ,/,
thou/NN --> thou/NN
shalt/NN --> shalt/NN
have/VBP --> have/VBP
as/RB --> as/RB
much/JJ --> much/JJ
money/NN --> money/NN
as/IN --> as/IN
thou/NN --> thou/NN
wilt/NN --> wilt/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
merchant/NN --> merchant/NN
thought/NN --> thought/NN
,/, --> ,/,
``/`` --> ``/``
What/WP --> what/WP
can/MD --> can/MD
that/WDT --> that/WDT
be/VB --> be/VB
but/CC --> but/CC
my/PRP$ --> my/PRP$
dog/NN --> dog/NN
?/. --> ?/.
''/'' --> ''/''
and/CC --> and/CC
did/VBD --> do/VBD
not/RB --> not/RB
remember/VB --> remember/VB
his/PRP$ --> he/PRP$
little/JJ --> little/JJ
boy/NN --> boy/NN
,/, --> ,/,
so/IN --> so/IN
he/PRP --> he/PRP
said/VBD --> say/VBD
yes/RB --> yes/RB
,/, --> ,/,
gave/VBD --> give/VBD
the/DT --> the/DT
black/JJ --> black/JJ
man/NN --> man/NN
a/DT --> a/DT
written/VBN --> write/VBN
and/CC --> and/CC
sealed/VBN --> seal/VBN
promise/NN --> promise/NN
,/, --> ,/,
and/CC --> and/CC
went/VBD --> go/VBD
home/NN --> home/NN
./. --> ./.
When/WRB --> when/WRB
he/PRP --> he/PRP
reached/VBD --> reach/VBD
home/NN --> home/NN
,/, --> ,/,
his/PRP$ --> he/PRP$
little/JJ --> little/JJ
boy/NN --> boy/NN
was/VBD --> be/VBD
so/RB --> so/RB
delighted/JJ --> delighted/JJ
that/IN --> that/IN
he/PRP --> he/PRP
held/VBD --> hold/VBD
by/IN --> by/IN
a/DT --> a/DT
bench/NN --> bench/NN
,/, --> ,/,
tottered/VBD --> totter/VBD
up/RP --> up/RP
to/TO --> to/TO
him/PRP --> he/PRP
and/CC --> and/CC
seized/VBD --> seize/VBD
him/PRP --> he/PRP
fast/RB --> fast/RB
by/IN --> by/IN
the/DT --> the/DT
legs/NNS --> leg/NNS
./. --> ./.
The/DT --> the/DT
father/NN --> father/NN
was/VBD --> be/VBD
shocked/VBN --> shock/VBN
,/, --> ,/,
for/IN --> for/IN
he/PRP --> he/PRP
remembered/VBD --> remember/VBD
his/PRP$ --> he/PRP$
promise/NN --> promise/NN
,/, --> ,/,
and/CC --> and/CC
now/RB --> now/RB
knew/VBD --> know/VBD
what/WP --> what/WP
he/PRP --> he/PRP
had/VBD --> have/VBD
pledged/VBN --> pledge/VBN
himself/PRP --> himself/PRP
to/TO --> to/TO
do/VB --> do/VB
;/: --> ;/:
as/IN --> as/IN
however/RB --> however/RB
,/, --> ,/,
he/PRP --> he/PRP
still/RB --> still/RB
found/VBD --> find/VBD
no/DT --> no/DT
money/NN --> money/NN
in/IN --> in/IN
his/PRP$ --> he/PRP$
chest/NN --> chest/NN
,/, --> ,/,
he/PRP --> he/PRP
thought/VBD --> think/VBD
the/DT --> the/DT
dwarf/NN --> dwarf/NN
had/VBD --> have/VBD
only/RB --> only/RB
been/VBN --> be/VBN
jesting/VBG --> jest/VBG
./. --> ./.
A/DT --> a/DT
month/NN --> month/NN
afterwards/RB --> afterwards/RB
he/PRP --> he/PRP
went/VBD --> go/VBD
up/RB --> up/RB
to/TO --> to/TO
the/DT --> the/DT
garret/NN --> garret/NN
,/, --> ,/,
intending/VBG --> intend/VBG
to/TO --> to/TO
gather/VB --> gather/VB
together/RB --> together/RB
some/DT --> some/DT
old/JJ --> old/JJ
tin/NN --> tin/NN
and/CC --> and/CC
to/TO --> to/TO
sell/VB --> sell/VB
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
saw/VBD --> see/VBD
a/DT --> a/DT
great/JJ --> great/JJ
heap/NN --> heap/NN
of/IN --> of/IN
money/NN --> money/NN
lying/VBG --> lie/VBG
./. --> ./.
Then/RB --> then/RB
he/PRP --> he/PRP
was/VBD --> be/VBD
happy/JJ --> happy/JJ
again/RB --> again/RB
,/, --> ,/,
made/VBD --> make/VBD
purchases/NNS --> purchase/NNS
,/, --> ,/,
became/VBD --> become/VBD
a/DT --> a/DT
greater/JJR --> greater/JJR
merchant/NN --> merchant/NN
than/IN --> than/IN
before/RB --> before/RB
,/, --> ,/,
and/CC --> and/CC
felt/VBD --> feel/VBD
that/IN --> that/IN
this/DT --> this/DT
world/NN --> world/NN
was/VBD --> be/VBD
well-governed/JJ --> well-governed/JJ
./. --> ./.
In/IN --> in/IN
the/DT --> the/DT
meantime/NN --> meantime/NN
the/DT --> the/DT
boy/NN --> boy/NN
grew/VBD --> grow/VBD
tall/JJ --> tall/JJ
,/, --> ,/,
and/CC --> and/CC
at/IN --> at/IN
the/DT --> the/DT
same/JJ --> same/JJ
time/NN --> time/NN
sharp/JJ --> sharp/JJ
and/CC --> and/CC
clever/JJ --> clever/JJ
./. --> ./.
But/CC --> but/CC
the/DT --> the/DT
nearer/IN --> nearer/IN
the/DT --> the/DT
twelfth/NN --> twelfth/NN
year/NN --> year/NN
approached/VBD --> approach/VBD
the/DT --> the/DT
more/RBR --> more/RBR
anxious/JJ --> anxious/JJ
grew/VBD --> grow/VBD
the/DT --> the/DT
merchant/NN --> merchant/NN
,/, --> ,/,
so/RB --> so/RB
that/IN --> that/IN
his/PRP$ --> he/PRP$
distress/NN --> distress/NN
might/MD --> might/MD
be/VB --> be/VB
seen/VBN --> see/VBN
in/IN --> in/IN
his/PRP$ --> he/PRP$
face/NN --> face/NN
./. --> ./.
One/CD --> one/CD
day/NN --> day/NN
his/PRP$ --> he/PRP$
son/NN --> son/NN
asked/VBD --> ask/VBD
what/WP --> what/WP
ailed/VBD --> ail/VBD
him/PRP --> he/PRP
,/, --> ,/,
but/CC --> but/CC
the/DT --> the/DT
father/NN --> father/NN
would/MD --> would/MD
not/RB --> not/RB
say/VB --> say/VB
./. --> ./.
The/DT --> the/DT
boy/NN --> boy/NN
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
persisted/VBN --> persist/VBN
so/RB --> so/RB
long/RB --> long/RB
,/, --> ,/,
that/IN --> that/IN
at/IN --> at/IN
last/JJ --> last/JJ
he/PRP --> he/PRP
told/VBD --> tell/VBD
him/PRP --> he/PRP
that/IN --> that/IN
without/IN --> without/IN
being/VBG --> be/VBG
aware/JJ --> aware/JJ
of/IN --> of/IN
what/WP --> what/WP
he/PRP --> he/PRP
was/VBD --> be/VBD
doing/VBG --> do/VBG
,/, --> ,/,
he/PRP --> he/PRP
had/VBD --> have/VBD
promised/VBN --> promise/VBN
him/PRP --> he/PRP
to/TO --> to/TO
a/DT --> a/DT
black/JJ --> black/JJ
dwarf/NN --> dwarf/NN
,/, --> ,/,
and/CC --> and/CC
had/VBD --> have/VBD
received/VBN --> receive/VBN
much/JJ --> much/JJ
money/NN --> money/NN
for/IN --> for/IN
doing/VBG --> do/VBG
so/RB --> so/RB
./. --> ./.
He/PRP --> he/PRP
said/VBD --> say/VBD
likewise/RB --> likewise/RB
that/IN --> that/IN
he/PRP --> he/PRP
had/VBD --> have/VBD
set/VBN --> set/VBN
his/PRP$ --> he/PRP$
hand/NN --> hand/NN
and/CC --> and/CC
seal/NN --> seal/NN
to/TO --> to/TO
this/DT --> this/DT
,/, --> ,/,
and/CC --> and/CC
that/IN --> that/IN
now/RB --> now/RB
when/WRB --> when/WRB
twelve/CD --> twelve/CD
years/NNS --> year/NNS
had/VBD --> have/VBD
gone/VBN --> go/VBN
by/IN --> by/IN
he/PRP --> he/PRP
would/MD --> would/MD
have/VB --> have/VB
to/TO --> to/TO
give/VB --> give/VB
him/PRP --> he/PRP
up/RP --> up/RP
./. --> ./.
Then/RB --> then/RB
said/VBD --> say/VBD
the/DT --> the/DT
son/NN --> son/NN
,/, --> ,/,
``/`` --> ``/``
Oh/UH --> oh/UH
,/, --> ,/,
father/NN --> father/NN
,/, --> ,/,
do/VBP --> do/VBP
not/RB --> not/RB
be/VB --> be/VB
uneasy/JJ --> uneasy/JJ
,/, --> ,/,
all/DT --> all/DT
will/MD --> will/MD
go/VB --> go/VB
well/RB --> well/RB
./. --> ./.
The/DT --> the/DT
black/JJ --> black/JJ
man/NN --> man/NN
has/VBZ --> have/VBZ
no/DT --> no/DT
power/NN --> power/NN
over/IN --> over/IN
me/PRP --> I/PRP
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
son/NN --> son/NN
had/VBD --> have/VBD
himself/PRP --> himself/PRP
blessed/VBN --> bless/VBN
by/IN --> by/IN
the/DT --> the/DT
priest/NN --> priest/NN
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
the/DT --> the/DT
time/NN --> time/NN
came/VBD --> come/VBD
,/, --> ,/,
father/NN --> father/NN
and/CC --> and/CC
son/NN --> son/NN
went/VBD --> go/VBD
together/RB --> together/RB
to/TO --> to/TO
the/DT --> the/DT
field/NN --> field/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
son/NN --> son/NN
made/VBD --> make/VBD
a/DT --> a/DT
circle/NN --> circle/NN
and/CC --> and/CC
placed/VBD --> place/VBD
himself/PRP --> himself/PRP
inside/IN --> inside/IN
it/PRP --> it/PRP
with/IN --> with/IN
his/PRP$ --> he/PRP$
father/NN --> father/NN
