<title>/NN --> NN/NN
6/CD --> 6/CD
Faithful/NNP --> Faithful/NNP
John/NNP --> John/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
on/IN --> on/IN
a/DT --> a/DT
time/NN --> time/NN
an/DT --> a/DT
old/JJ --> old/JJ
king/NN --> king/NN
who/WP --> who/WP
was/VBD --> be/VBD
ill/RB --> ill/RB
,/, --> ,/,
and/CC --> and/CC
thought/VBD --> think/VBD
to/TO --> to/TO
himself/PRP --> himself/PRP
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
am/VBP --> be/VBP
lying/VBG --> lie/VBG
on/IN --> on/IN
what/WP --> what/WP
must/MD --> must/MD
be/VB --> be/VB
my/PRP$ --> my/PRP$
death-bed/JJ --> death-bed/JJ
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
said/VBD --> say/VBD
he/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
Tell/VB --> tell/VB
Faithful/NNP --> Faithful/NNP
John/NNP --> John/NNP
to/TO --> to/TO
come/VB --> come/VB
to/TO --> to/TO
me/PRP --> I/PRP
./. --> ./.
''/'' --> ''/''
Faithful/NNP --> Faithful/NNP
John/NNP --> John/NNP
was/VBD --> be/VBD
his/PRP$ --> he/PRP$
favorite/JJ --> favorite/JJ
servant/NN --> servant/NN
,/, --> ,/,
and/CC --> and/CC
was/VBD --> be/VBD
so/RB --> so/RB
called/VBN --> call/VBN
,/, --> ,/,
because/IN --> because/IN
he/PRP --> he/PRP
had/VBD --> have/VBD
for/IN --> for/IN
his/PRP$ --> he/PRP$
whole/JJ --> whole/JJ
life/NN --> life/NN
long/RB --> long/RB
been/VBN --> be/VBN
so/RB --> so/RB
true/JJ --> true/JJ
to/TO --> to/TO
him/PRP --> he/PRP
./. --> ./.
When/WRB --> when/WRB
therefore/RB --> therefore/RB
he/PRP --> he/PRP
came/VBD --> come/VBD
beside/IN --> beside/IN
the/DT --> the/DT
bed/NN --> bed/NN
,/, --> ,/,
the/DT --> the/DT
King/NNP --> King/NNP
said/VBD --> say/VBD
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
Most/JJS --> most/JJS
faithful/JJ --> faithful/JJ
John/NNP --> John/NNP
,/, --> ,/,
I/PRP --> I/PRP
feel/VBP --> feel/VBP
my/PRP$ --> my/PRP$
end/NN --> end/NN
approaching/VBG --> approach/VBG
,/, --> ,/,
and/CC --> and/CC
have/VBP --> have/VBP
no/DT --> no/DT
anxiety/NN --> anxiety/NN
except/IN --> except/IN
about/IN --> about/IN
my/PRP$ --> my/PRP$
son/NN --> son/NN
./. --> ./.
He/PRP --> he/PRP
is/VBZ --> be/VBZ
still/RB --> still/RB
of/IN --> of/IN
tender/NN --> tender/NN
age/NN --> age/NN
,/, --> ,/,
and/CC --> and/CC
can/MD --> can/MD
not/RB --> not/RB
always/RB --> always/RB
know/VB --> know/VB
how/WRB --> how/WRB
to/TO --> to/TO
guide/VB --> guide/VB
himself/PRP --> himself/PRP
./. --> ./.
If/IN --> if/IN
thou/JJ --> thou/JJ
dost/NN --> dost/NN
not/RB --> not/RB
promise/VB --> promise/VB
me/PRP --> I/PRP
to/TO --> to/TO
teach/VB --> teach/VB
him/PRP --> he/PRP
everything/NN --> everything/NN
that/IN --> that/IN
he/PRP --> he/PRP
ought/MD --> ought/MD
to/TO --> to/TO
know/VB --> know/VB
,/, --> ,/,
and/CC --> and/CC
to/TO --> to/TO
be/VB --> be/VB
his/PRP$ --> he/PRP$
foster-father/NN --> foster-father/NN
,/, --> ,/,
I/PRP --> I/PRP
can/MD --> can/MD
not/RB --> not/RB
close/VB --> close/VB
my/PRP$ --> my/PRP$
eyes/NNS --> eye/NNS
in/IN --> in/IN
peace/NN --> peace/NN
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
answered/VBN --> answer/VBN
Faithful/NNP --> Faithful/NNP
John/NNP --> John/NNP
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
not/RB --> not/RB
forsake/VB --> forsake/VB
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
will/MD --> will/MD
serve/VB --> serve/VB
him/PRP --> he/PRP
with/IN --> with/IN
fidelity/NN --> fidelity/NN
,/, --> ,/,
even/RB --> even/RB
if/IN --> if/IN
it/PRP --> it/PRP
should/MD --> should/MD
cost/VB --> cost/VB
