<title>/IN --> IN/IN
63/CD --> 63/CD
The/DT --> the/DT
Three/CD --> three/CD
Feathers/NNS --> feather/NNS
</title>/VBP --> VBP/VBP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
on/IN --> on/IN
a/DT --> a/DT
time/NN --> time/NN
a/DT --> a/DT
King/NN --> king/NN
who/WP --> who/WP
had/VBD --> have/VBD
three/CD --> three/CD
sons/NNS --> son/NNS
,/, --> ,/,
of/IN --> of/IN
whom/WP --> whom/WP
two/CD --> two/CD
were/VBD --> be/VBD
clever/JJ --> clever/JJ
and/CC --> and/CC
wise/JJ --> wise/JJ
,/, --> ,/,
but/CC --> but/CC
the/DT --> the/DT
third/JJ --> third/JJ
did/VBD --> do/VBD
not/RB --> not/RB
speak/VB --> speak/VB
much/RB --> much/RB
,/, --> ,/,
and/CC --> and/CC
was/VBD --> be/VBD
simple/JJ --> simple/JJ
,/, --> ,/,
and/CC --> and/CC
was/VBD --> be/VBD
called/VBN --> call/VBN
the/DT --> the/DT
Simpleton/NNP --> Simpleton/NNP
./. --> ./.
When/WRB --> when/WRB
the/DT --> the/DT
King/NNP --> King/NNP
had/VBD --> have/VBD
become/VBN --> become/VBN
old/JJ --> old/JJ
and/CC --> and/CC
weak/JJ --> weak/JJ
,/, --> ,/,
and/CC --> and/CC
was/VBD --> be/VBD
thinking/VBG --> think/VBG
of/IN --> of/IN
his/PRP$ --> he/PRP$
end/NN --> end/NN
,/, --> ,/,
he/PRP --> he/PRP
did/VBD --> do/VBD
not/RB --> not/RB
know/VB --> know/VB
which/WDT --> which/WDT
of/IN --> of/IN
his/PRP$ --> he/PRP$
sons/NNS --> son/NNS
should/MD --> should/MD
inherit/VB --> inherit/VB
the/DT --> the/DT
kingdom/NN --> kingdom/NN
after/IN --> after/IN
him/PRP --> he/PRP
./. --> ./.
Then/RB --> then/RB
he/PRP --> he/PRP
said/VBD --> say/VBD
to/TO --> to/TO
them/PRP --> they/PRP
,/, --> ,/,
``/`` --> ``/``
Go/VB --> go/VB
forth/RB --> forth/RB
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
who/WP --> who/WP
brings/VBZ --> bring/VBZ
me/PRP --> I/PRP
the/DT --> the/DT
most/RBS --> most/RBS
beautiful/JJ --> beautiful/JJ
carpet/NN --> carpet/NN
shall/MD --> shall/MD
be/VB --> be/VB
King/NNP --> King/NNP
after/IN --> after/IN
my/PRP$ --> my/PRP$
death/NN --> death/NN
./. --> ./.
''/'' --> ''/''
And/CC --> and/CC
that/IN --> that/IN
there/EX --> there/EX
should/MD --> should/MD
be/VB --> be/VB
no/DT --> no/DT
dispute/NN --> dispute/NN
amongst/IN --> amongst/IN
them/PRP --> they/PRP
,/, --> ,/,
he/PRP --> he/PRP
took/VBD --> take/VBD
them/PRP --> they/PRP
outside/IN --> outside/IN
his/PRP$ --> he/PRP$
castle/NN --> castle/NN
,/, --> ,/,
blew/VBD --> blow/VBD
three/CD --> three/CD
feathers/NNS --> feather/NNS
in/IN --> in/IN
the/DT --> the/DT
air/NN --> air/NN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
You/PRP --> you/PRP
shall/MD --> shall/MD
go/VB --> go/VB
as/IN --> as/IN
they/PRP --> they/PRP
fly/VBP --> fly/VBP
./. --> ./.
''/'' --> ''/''
One/CD --> one/CD
feather/NN --> feather/NN
flew/VBD --> fly/VBD
to/TO --> to/TO
the/DT --> the/DT
east/JJ --> east/JJ
,/, --> ,/,
the/DT --> the/DT
other/JJ --> other/JJ
to/TO --> to/TO
the/DT --> the/DT
west/NN --> west/NN
,/, --> ,/,
but/CC --> but/CC
the/DT --> the/DT
third/JJ --> third/JJ
flew/VBD --> fly/VBD
straight/RB --> straight/RB
up/RB --> up/RB
and/CC --> and/CC
