<title>/IN --> IN/IN
THE/DT --> the/DT
SAGACIOUS/NNS --> sagacious/NNS
MONKEY/NN --> monkey/NN
AND/CC --> and/CC
THE/DT --> the/DT
BOAR/NNP --> BOAR/NNP
./. --> ./.
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Japanese/NNP --> Japanese/NNP
Writer/NNP --> Writer/NNP
</author>/NNP --> NNP/NNP
Long/NNP --> Long/NNP
,/, --> ,/,
long/RB --> long/RB
ago/RB --> ago/RB
,/, --> ,/,
there/EX --> there/EX
lived/VBD --> live/VBD
in/IN --> in/IN
the/DT --> the/DT
province/NN --> province/NN
of/IN --> of/IN
Shinshin/NNP --> Shinshin/NNP
in/IN --> in/IN
Japan/NNP --> Japan/NNP
,/, --> ,/,
a/DT --> a/DT
traveling/VBG --> travel/VBG
monkey-man/NN --> monkey-man/NN
,/, --> ,/,
who/WP --> who/WP
earned/VBD --> earn/VBD
his/PRP$ --> he/PRP$
living/NN --> living/NN
by/IN --> by/IN
taking/VBG --> take/VBG
round/NN --> round/NN
a/DT --> a/DT
monkey/NN --> monkey/NN
and/CC --> and/CC
showing/VBG --> show/VBG
off/RP --> off/RP
the/DT --> the/DT
animal/NN --> animal/NN
's/POS --> 's/POS
tricks/NNS --> trick/NNS
./. --> ./.
One/CD --> one/CD
evening/NN --> evening/NN
the/DT --> the/DT
man/NN --> man/NN
came/VBD --> come/VBD
home/NN --> home/NN
in/IN --> in/IN
a/DT --> a/DT
very/RB --> very/RB
bad/JJ --> bad/JJ
temper/NN --> temper/NN
and/CC --> and/CC
told/VBD --> tell/VBD
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
to/TO --> to/TO
send/VB --> send/VB
for/IN --> for/IN
the/DT --> the/DT
butcher/NN --> butcher/NN
the/DT --> the/DT
next/JJ --> next/JJ
morning/NN --> morning/NN
./. --> ./.
The/DT --> the/DT
wife/NN --> wife/NN
was/VBD --> be/VBD
very/RB --> very/RB
bewildered/JJ --> bewildered/JJ
and/CC --> and/CC
asked/VBD --> ask/VBD
her/PRP$ --> she/PRP$
husband/NN --> husband/NN
:/: --> :/:
``/`` --> ``/``
Why/WRB --> why/WRB
do/VBP --> do/VBP
you/PRP --> you/PRP
wish/VB --> wish/VB
me/PRP --> I/PRP
to/TO --> to/TO
send/VB --> send/VB
for/IN --> for/IN
the/DT --> the/DT
butcher/NN --> butcher/NN
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
It/PRP --> it/PRP
's/VBZ --> be/VBZ
no/DT --> no/DT
use/NN --> use/NN
taking/VBG --> take/VBG
that/DT --> that/DT
monkey/NN --> monkey/NN
round/NN --> round/NN
any/RB --> any/RB
longer/RB --> longer/RB
,/, --> ,/,
