<title>/IN --> IN/IN
58/CD --> 58/CD
The/DT --> the/DT
Dog/NNP --> Dog/NNP
and/CC --> and/CC
the/DT --> the/DT
Sparrow/NNP --> Sparrow/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
A/NNP --> A/NNP
sheep-dog/NN --> sheep-dog/NN
had/VBD --> have/VBD
not/RB --> not/RB
a/DT --> a/DT
good/JJ --> good/JJ
master/NN --> master/NN
,/, --> ,/,
but/CC --> but/CC
,/, --> ,/,
on/IN --> on/IN
the/DT --> the/DT
contrary/NN --> contrary/NN
,/, --> ,/,
one/CD --> one/CD
who/WP --> who/WP
let/VBD --> let/VBD
him/PRP --> he/PRP
suffer/VB --> suffer/VB
hunger/NN --> hunger/NN
./. --> ./.
As/IN --> as/IN
he/PRP --> he/PRP
could/MD --> could/MD
stay/VB --> stay/VB
no/RB --> no/RB
longer/RB --> longer/RB
with/IN --> with/IN
him/PRP --> he/PRP
,/, --> ,/,
he/PRP --> he/PRP
went/VBD --> go/VBD
quite/RB --> quite/RB
sadly/RB --> sadly/RB
away/RB --> away/RB
./. --> ./.
On/IN --> on/IN
the/DT --> the/DT
road/NN --> road/NN
he/PRP --> he/PRP
met/VBD --> meet/VBD
a/DT --> a/DT
sparrow/NN --> sparrow/NN
who/WP --> who/WP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Brother/NN --> brother/NN
dog/NN --> dog/NN
,/, --> ,/,
why/WRB --> why/WRB
art/NN --> art/NN
thou/NN --> thou/NN
so/RB --> so/RB
sad/JJ --> sad/JJ
?/. --> ?/.
''/'' --> ''/''
The/DT --> the/DT
dog/NN --> dog/NN
replied/VBD --> reply/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
am/VBP --> be/VBP
hungry/JJ --> hungry/JJ
,/, --> ,/,
and/CC --> and/CC
have/VBP --> have/VBP
nothing/NN --> nothing/NN
to/TO --> to/TO
eat/VB --> eat/VB
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
said/VBD --> say/VBD
the/DT --> the/DT
sparrow/NN --> sparrow/NN
,/, --> ,/,
``/`` --> ``/``
Dear/JJ --> dear/JJ
brother/NN --> brother/NN
,/, --> ,/,
come/VBN --> come/VBN
into/IN --> into/IN
the/DT --> the/DT
town/NN --> town/NN
with/IN --> with/IN
me/PRP --> I/PRP
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
will/MD --> will/MD
satisfy/VB --> satisfy/VB
thy/NN --> thy/NN
hunger/NN --> hunger/NN
./. --> ./.
''/'' --> ''/''
So/IN --> so/IN
they/PRP --> they/PRP
went/VBD --> go/VBD
into/IN --> into/IN
the/DT --> the/DT
town/NN --> town/NN
together/RB --> together/RB
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
they/PRP --> they/PRP
came/VBD --> come/VBD
in/IN --> in/IN
front/NN --> front/NN
of/IN --> of/IN
a/DT --> a/DT
butcher/NN --> butcher/NN
's/POS --> 's/POS
shop/NN --> shop/NN
the/DT --> the/DT
sparrow/NN --> sparrow/NN
said/VBD --> say/VBD
to/TO --> to/TO
the/DT --> the/DT
dog/NN --> dog/NN
,/, --> ,/,
``/`` --> ``/``
Stay/NNP --> Stay/NNP
there/RB --> there/RB
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
will/MD --> will/MD
pick/VB --> pick/VB
a/DT --> a/DT
bit/NN --> bit/NN
of/IN --> of/IN
meat/NN --> meat/NN
down/IN --> down/IN
for/IN --> for/IN
thee/NN --> thee/NN
,/, --> ,/,
''/'' --> ''/''
and/CC --> and/CC
he/PRP --> he/PRP
alighted/VBD --> alight/VBD
on/IN --> on/IN
the/DT --> the/DT
stall/VB --> stall/VB
,/, --> ,/,
looked/VBD --> look/VBD
about/IN --> about/IN
him/PRP --> he/PRP
to/TO --> to/TO
see/VB --> see/VB
that/IN --> that/IN
no/DT --> no/DT
one/NN --> one/NN
was/VBD --> be/VBD
observing/VBG --> observe/VBG
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
pecked/VBD --> peck/VBD
and/CC --> and/CC
pulled/VBD --> pull/VBD
and/CC --> and/CC
tore/VBD --> tear/VBD
so/RB --> so/RB
long/RB --> long/RB
at/IN --> at/IN
a/DT --> a/DT
piece/NN --> piece/NN
which/WDT --> which/WDT
lay/VBD --> lay/VBD
on/IN --> on/IN
the/DT --> the/DT
edge/NN --> edge/NN
,/, --> ,/,
that/IN --> that/IN
it/PRP --> it/PRP
slipped/VBD --> slip/VBD
down/RB --> down/RB
./. --> ./.
Then/RB --> then/RB
the/DT --> the/DT
dog/NN --> dog/NN
seized/VBD --> seize/VBD
it/PRP --> it/PRP
,/, --> ,/,
ran/VBD --> run/VBD
into/IN --> into/IN
a/DT --> a/DT
corner/NN --> corner/NN
,/, --> ,/,
and/CC --> and/CC
devoured/VBD --> devour/VBD
it/PRP --> it/PRP
./. --> ./.
The/DT --> the/DT
sparrow/NN --> sparrow/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Now/RB --> now/RB
come/VBN --> come/VBN
with/IN --> with/IN
me/PRP --> I/PRP
to/TO --> to/TO
another/DT --> another/DT
shop/NN --> shop/NN
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
I/PRP --> I/PRP
will/MD --> will/MD
get/VB --> get/VB
thee/VB --> thee/VB
one/CD --> one/CD
more/JJR --> more/JJR
piece/NN --> piece/NN
that/IN --> that/IN
thou/JJ --> thou/JJ
mayst/NN --> mayst/NN
be/VB --> be/VB
satisfied/VBN --> satisfy/VBN
./. --> ./.
''/'' --> ''/''
When/WRB --> when/WRB
the/DT --> the/DT
dog/NN --> dog/NN
had/VBD --> have/VBD
devoured/VBN --> devour/VBN
the/DT --> the/DT
second/JJ --> second/JJ
piece/NN --> piece/NN
as/RB --> as/RB
well/RB --> well/RB
,/, --> ,/,
the/DT --> the/DT
sparrow/NN --> sparrow/NN
asked/VBD --> ask/VBD
,/, --> ,/,
``/`` --> ``/``
Brother/NN --> brother/NN
dog/NN --> dog/NN
,/, --> ,/,
hast/NN --> hast/NN
thou/NN --> thou/NN
now/RB --> now/RB
had/VBD --> have/VBD
enough/RB --> enough/RB
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Yes/RB --> yes/RB
,/, --> ,/,
I/PRP --> I/PRP
have/VBP --> have/VBP
had/VBN --> have/VBN
meat/NN --> meat/NN
enough/RB --> enough/RB
,/, --> ,/,
''/'' --> ''/''
he/PRP --> he/PRP
answered/VBD --> answer/VBD
,/, --> ,/,
``/`` --> ``/``
but/CC --> but/CC
I/PRP --> I/PRP
have/VBP --> have/VBP
had/VBD --> have/VBD
no/DT --> no/DT
bread/NN --> bread/NN
yet/RB --> yet/RB
./. --> ./.
''/'' --> ''/''
Said/NNP --> Said/NNP
the/DT --> the/DT
sparrow/NN --> sparrow/NN
,/, --> ,/,
``/`` --> ``/``
Thou/NNP --> Thou/NNP
shalt/NN --> shalt/NN
have/VBP --> have/VBP
that/DT --> that/DT
also/RB --> also/RB
,/, --> ,/,
come/VBN --> come/VBN
with/IN --> with/IN
me/PRP --> I/PRP
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
he/PRP --> he/PRP
took/VBD --> take/VBD
him/PRP --> he/PRP
to/TO --> to/TO
a/DT --> a/DT
baker/NN --> baker/NN
's/POS --> 's/POS
shop/NN --> shop/NN
,/, --> ,/,
and/CC --> and/CC
pecked/VBN --> peck/VBN
at/IN --> at/IN
a/DT --> a/DT
couple/NN --> couple/NN
of/IN --> of/IN
little/JJ --> little/JJ
buns/NNS --> bun/NNS
till/IN --> till/IN
they/PRP --> they/PRP
rolled/VBD --> roll/VBD
down/RP --> down/RP
,/, --> ,/,
and/CC --> and/CC
as/IN --> as/IN
the/DT --> the/DT
dog/NN --> dog/NN
wanted/VBD --> want/VBD
still/RB --> still/RB
more/RBR --> more/RBR
,/, --> ,/,
he/PRP --> he/PRP
led/VBD --> lead/VBD
him/PRP --> he/PRP
to/TO --> to/TO
another/DT --> another/DT
stall/VB --> stall/VB
,/, --> ,/,
and/CC --> and/CC
again/RB --> again/RB
got/VBD --> get/VBD
bread/NN --> bread/NN
for/IN --> for/IN
him/PRP --> he/PRP
./. --> ./.
When/WRB --> when/WRB
that/DT --> that/DT
was/VBD --> be/VBD
consumed/VBN --> consume/VBN
,/, --> ,/,
the/DT --> the/DT
sparrow/NN --> sparrow/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Brother/NN --> brother/NN
dog/NN --> dog/NN
,/, --> ,/,
hast/NN --> hast/NN
thou/NN --> thou/NN
now/RB --> now/RB
had/VBD --> have/VBD
enough/RB --> enough/RB
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Yes/RB --> yes/RB
,/, --> ,/,
''/'' --> ''/''
he/PRP --> he/PRP
replied/VBD --> reply/VBD
,/, --> ,/,
``/`` --> ``/``
now/RB --> now/RB
we/PRP --> we/PRP
will/MD --> will/MD
walk/VB --> walk/VB
awhile/RB --> awhile/RB
outside/IN --> outside/IN
the/DT --> the/DT
town/NN --> town/NN
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
they/PRP --> they/PRP
both/DT --> both/DT
went/VBD --> go/VBD
out/RP --> out/RP
on/IN --> on/IN
to/TO --> to/TO
the/DT --> the/DT
highway/NN --> highway/NN
./. --> ./.
It/PRP --> it/PRP
was/VBD --> be/VBD
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
warm/JJ --> warm/JJ
weather/NN --> weather/NN
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
they/PRP --> they/PRP
had/VBD --> have/VBD
