<title>/IN --> IN/IN
44/CD --> 44/CD
Godfather/NNP --> Godfather/NNP
Death/NNP --> Death/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
A/NNP --> A/NNP
poor/JJ --> poor/JJ
man/NN --> man/NN
had/VBD --> have/VBD
twelve/CD --> twelve/CD
children/NNS --> child/NNS
and/CC --> and/CC
was/VBD --> be/VBD
forced/VBN --> force/VBN
to/TO --> to/TO
work/VB --> work/VB
night/NN --> night/NN
and/CC --> and/CC
day/NN --> day/NN
to/TO --> to/TO
give/VB --> give/VB
them/PRP --> they/PRP
even/RB --> even/RB
bread/NN --> bread/NN
./. --> ./.
When/WRB --> when/WRB
therefore/RB --> therefore/RB
the/DT --> the/DT
thirteenth/NN --> thirteenth/NN
came/VBD --> come/VBD
into/IN --> into/IN
the/DT --> the/DT
world/NN --> world/NN
,/, --> ,/,
he/PRP --> he/PRP
knew/VBD --> know/VBD
not/RB --> not/RB
what/WP --> what/WP
to/TO --> to/TO
do/VB --> do/VB
in/IN --> in/IN
his/PRP$ --> he/PRP$
trouble/NN --> trouble/NN
,/, --> ,/,
but/CC --> but/CC
ran/VBD --> run/VBD
out/RP --> out/RP
into/IN --> into/IN
the/DT --> the/DT
great/JJ --> great/JJ
highway/NN --> highway/NN
,/, --> ,/,
and/CC --> and/CC
resolved/VBN --> resolve/VBN
to/TO --> to/TO
ask/VB --> ask/VB
the/DT --> the/DT
first/JJ --> first/JJ
person/NN --> person/NN
whom/WP --> whom/WP
he/PRP --> he/PRP
met/VBD --> meet/VBD
to/TO --> to/TO
be/VB --> be/VB
godfather/NN --> godfather/NN
./. --> ./.
The/DT --> the/DT
first/JJ --> first/JJ
to/TO --> to/TO
meet/VB --> meet/VB
him/PRP --> he/PRP
was/VBD --> be/VBD
the/DT --> the/DT
good/JJ --> good/JJ
God/NNP --> God/NNP
who/WP --> who/WP
already/RB --> already/RB
knew/VBD --> know/VBD
what/WP --> what/WP
filled/VBD --> fill/VBD
his/PRP$ --> he/PRP$
heart/NN --> heart/NN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
Poor/NNP --> Poor/NNP
man/NN --> man/NN
,/, --> ,/,
I/PRP --> I/PRP
pity/NN --> pity/NN
thee/NN --> thee/NN
./. --> ./.
I/PRP --> I/PRP
will/MD --> will/MD
hold/VB --> hold/VB
thy/JJ --> thy/JJ
child/NN --> child/NN
at/IN --> at/IN
its/PRP$ --> its/PRP$
christening/NN --> christening/NN
,/, --> ,/,
and/CC --> and/CC
will/MD --> will/MD
take/VB --> take/VB
charge/NN --> charge/NN
of/IN --> of/IN
it/PRP --> it/PRP
and/CC --> and/CC
make/VB --> make/VB
it/PRP --> it/PRP
happy/JJ --> happy/JJ
on/IN --> on/IN
earth/NN --> earth/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
man/NN --> man/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Who/WP --> who/WP
art/NN --> art/NN
thou/NN --> thou/NN
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
I/PRP --> I/PRP
am/VBP --> be/VBP
God/NNP --> God/NNP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Then/RB --> then/RB
I/PRP --> I/PRP
do/VBP --> do/VBP
not/RB --> not/RB
desire/VB --> desire/VB
to/TO --> to/TO
have/VB --> have/VB
thee/NN --> thee/NN
for/IN --> for/IN
a/DT --> a/DT
godfather/NN --> godfather/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
man/NN --> man/NN
;/: --> ;/:
``/`` --> ``/``
thou/NN --> thou/NN
givest/NN --> givest/NN
to/TO --> to/TO
the/DT --> the/DT
rich/JJ --> rich/JJ
,/, --> ,/,
and/CC --> and/CC
leavest/JJS --> leavest/JJS
the/DT --> the/DT
poor/JJ --> poor/JJ
to/TO --> to/TO
hunger/NN --> hunger/NN
./. --> ./.
''/'' --> ''/''
Thus/RB --> thus/RB
spoke/VBD --> speak/VBD
the/DT --> the/DT
man/NN --> man/NN
,/, --> ,/,
for/IN --> for/IN
he/PRP --> he/PRP
did/VBD --> do/VBD
not/RB --> not/RB
know/VB --> know/VB
how/WRB --> how/WRB
wisely/RB --> wisely/RB
God/NNP --> God/NNP
apportions/NNS --> apportion/NNS
riches/NNS --> riches/NNS
and/CC --> and/CC
poverty/NN --> poverty/NN
./. --> ./.
He/PRP --> he/PRP
turned/VBD --> turn/VBD
therefore/RB --> therefore/RB
away/RB --> away/RB
from/IN --> from/IN
the/DT --> the/DT
Lord/NNP --> Lord/NNP
,/, --> ,/,
and/CC --> and/CC
went/VBD --> go/VBD
farther/RB --> farther/RB
./. --> ./.
Then/RB --> then/RB
the/DT --> the/DT
Devil/NNP --> Devil/NNP
came/VBD --> come/VBD
to/TO --> to/TO
him/PRP --> he/PRP
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
What/WP --> what/WP
seekest/JJS --> seekest/JJS
thou/NN --> thou/NN
?/. --> ?/.
If/IN --> if/IN
thou/NN --> thou/NN
wilt/NN --> wilt/NN
take/VB --> take/VB
me/PRP --> I/PRP
as/IN --> as/IN
a/DT --> a/DT
godfather/NN --> godfather/NN
for/IN --> for/IN
thy/JJ --> thy/JJ
child/NN --> child/NN
,/, --> ,/,
I/PRP --> I/PRP
will/MD --> will/MD
give/VB --> give/VB
him/PRP --> he/PRP
gold/NN --> gold/NN
in/IN --> in/IN
plenty/NN --> plenty/NN
and/CC --> and/CC
all/PDT --> all/PDT
the/DT --> the/DT
joys/NNS --> joy/NNS
of/IN --> of/IN
the/DT --> the/DT
world/NN --> world/NN
as/RB --> as/RB
well/RB --> well/RB
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
man/NN --> man/NN
asked/VBD --> ask/VBD
,/, --> ,/,
``/`` --> ``/``
Who/WP --> who/WP
art/NN --> art/NN
thou/NN --> thou/NN
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
I/PRP --> I/PRP
am/VBP --> be/VBP
the/DT --> the/DT
Devil/NNP --> Devil/NNP
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Then/RB --> then/RB
I/PRP --> I/PRP
do/VBP --> do/VBP
not/RB --> not/RB
desire/VB --> desire/VB
to/TO --> to/TO
have/VB --> have/VB
thee/NN --> thee/NN
for/IN --> for/IN
godfather/NN --> godfather/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
man/NN --> man/NN
;/: --> ;/:
``/`` --> ``/``
thou/VB --> thou/VB
deceivest/JJS --> deceivest/JJS
men/NNS --> man/NNS
and/CC --> and/CC
leadest/JJS --> leadest/JJS
them/PRP --> they/PRP
astray/RB --> astray/RB
./. --> ./.
''/'' --> ''/''
He/PRP --> he/PRP
went/VBD --> go/VBD
onwards/NNS --> onward/NNS
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
came/VBD --> come/VBD
Death/NNP --> Death/NNP
striding/VBG --> stride/VBG
up/RP --> up/RP
to/TO --> to/TO
him/PRP --> he/PRP
with/IN --> with/IN
withered/JJ --> withered/JJ
legs/NNS --> leg/NNS
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Take/VB --> take/VB
me/PRP --> I/PRP
as/IN --> as/IN
godfather/NN --> godfather/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
man/NN --> man/NN
asked/VBD --> ask/VBD
,/, --> ,/,
``/`` --> ``/``
Who/WP --> who/WP
art/NN --> art/NN
thou/NN --> thou/NN
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
I/PRP --> I/PRP
am/VBP --> be/VBP
Death/NNP --> Death/NNP
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
make/VBP --> make/VBP
all/DT --> all/DT
equal/JJ --> equal/JJ
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
said/VBD --> say/VBD
the/DT --> the/DT
man/NN --> man/NN
,/, --> ,/,
``/`` --> ``/``
Thou/NNP --> Thou/NNP
art/NN --> art/NN
the/DT --> the/DT
right/NN --> right/NN
one/CD --> one/CD
,/, --> ,/,
thou/NN --> thou/NN
takest/IN --> takest/IN
the/DT --> the/DT
rich/JJ --> rich/JJ
as/RB --> as/RB
well/RB --> well/RB
as/IN --> as/IN
the/DT --> the/DT
poor/JJ --> poor/JJ
,/, --> ,/,
without/IN --> without/IN
distinction/NN --> distinction/NN
;/: --> ;/:
thou/NN --> thou/NN
shalt/NN --> shalt/NN
be/VB --> be/VB
godfather/VBN --> godfather/VBN
./. --> ./.
''/'' --> ''/''
Death/NNP --> Death/NNP
answered/VBD --> answer/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
will/MD --> will/MD
make/VB --> make/VB
thy/JJ --> thy/JJ
child/NN --> child/NN
rich/JJ --> rich/JJ
and/CC --> and/CC
famous/JJ --> famous/JJ
,/, --> ,/,
for/IN --> for/IN
he/PRP --> he/PRP
who/WP --> who/WP
has/VBZ --> have/VBZ
me/PRP --> I/PRP
for/IN --> for/IN
a/DT --> a/DT
friend/NN --> friend/NN
can/MD --> can/MD
lack/VB --> lack/VB
nothing/NN --> nothing/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
man/NN --> man/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Next/JJ --> next/JJ
Sunday/NNP --> Sunday/NNP
is/VBZ --> be/VBZ
the/DT --> the/DT
christening/NN --> christening/NN
;/: --> ;/:
be/VB --> be/VB
there/RB --> there/RB
at/IN --> at/IN
