<title>/IN --> IN/IN
29/CD --> 29/CD
The/DT --> the/DT
Devil/NNP --> Devil/NNP
With/IN --> with/IN
the/DT --> the/DT
Three/CD --> three/CD
Golden/NNP --> Golden/NNP
Hairs/NNP --> Hairs/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
poor/JJ --> poor/JJ
woman/NN --> woman/NN
who/WP --> who/WP
gave/VBD --> give/VBD
birth/NN --> birth/NN
to/TO --> to/TO
a/DT --> a/DT
little/JJ --> little/JJ
son/NN --> son/NN
;/: --> ;/:
and/CC --> and/CC
as/IN --> as/IN
he/PRP --> he/PRP
came/VBD --> come/VBD
into/IN --> into/IN
the/DT --> the/DT
world/NN --> world/NN
with/IN --> with/IN
a/DT --> a/DT
caul/NN --> caul/NN
on/IN --> on/IN
,/, --> ,/,
it/PRP --> it/PRP
was/VBD --> be/VBD
predicted/VBN --> predict/VBN
that/IN --> that/IN
in/IN --> in/IN
his/PRP$ --> he/PRP$
fourteenth/JJ --> fourteenth/JJ
year/NN --> year/NN
he/PRP --> he/PRP
would/MD --> would/MD
have/VB --> have/VB
the/DT --> the/DT
King/NNP --> King/NNP
's/POS --> 's/POS
daughter/NN --> daughter/NN
for/IN --> for/IN
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
./. --> ./.
It/PRP --> it/PRP
happened/VBD --> happen/VBD
that/IN --> that/IN
soon/RB --> soon/RB
afterwards/RB --> afterwards/RB
the/DT --> the/DT
King/NNP --> King/NNP
came/VBD --> come/VBD
into/IN --> into/IN
the/DT --> the/DT
village/NN --> village/NN
,/, --> ,/,
and/CC --> and/CC
no/DT --> no/DT
one/NN --> one/NN
knew/VBD --> know/VBD
that/IN --> that/IN
he/PRP --> he/PRP
was/VBD --> be/VBD
the/DT --> the/DT
King/NNP --> King/NNP
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
he/PRP --> he/PRP
asked/VBD --> ask/VBD
the/DT --> the/DT
people/NNS --> people/NNS
what/WP --> what/WP
news/NN --> news/NN
there/EX --> there/EX
was/VBD --> be/VBD
,/, --> ,/,
they/PRP --> they/PRP
answered/VBD --> answer/VBD
,/, --> ,/,
``/`` --> ``/``
A/DT --> a/DT
child/NN --> child/NN
has/VBZ --> have/VBZ
just/RB --> just/RB
been/VBN --> be/VBN
born/VBN --> bear/VBN
with/IN --> with/IN
a/DT --> a/DT
caul/NN --> caul/NN
on/IN --> on/IN
;/: --> ;/:
whatever/WDT --> whatever/WDT
any/DT --> any/DT
one/CD --> one/CD
so/RB --> so/RB
born/VBN --> bear/VBN
undertakes/NNS --> undertake/NNS
turns/VBZ --> turn/VBZ
out/RP --> out/RP
well/RB --> well/RB
./. --> ./.
It/PRP --> it/PRP
is/VBZ --> be/VBZ
prophesied/VBN --> prophesy/VBN
,/, --> ,/,
too/RB --> too/RB
,/, --> ,/,
that/IN --> that/IN
in/IN --> in/IN
his/PRP$ --> he/PRP$
fourteenth/JJ --> fourteenth/JJ
year/NN --> year/NN
he/PRP --> he/PRP
will/MD --> will/MD
have/VB --> have/VB
the/DT --> the/DT
King/NNP --> King/NNP
's/POS --> 's/POS
daughter/NN --> daughter/NN
for/IN --> for/IN
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
King/NNP --> King/NNP
,/, --> ,/,
who/WP --> who/WP
had/VBD --> have/VBD
a/DT --> a/DT
bad/JJ --> bad/JJ
heart/NN --> heart/NN
,/, --> ,/,
and/CC --> and/CC
was/VBD --> be/VBD
angry/JJ --> angry/JJ
about/IN --> about/IN
the/DT --> the/DT
prophecy/NN --> prophecy/NN
,/, --> ,/,
went/VBD --> go/VBD
to/TO --> to/TO
the/DT --> the/DT
parents/NNS --> parent/NNS
,/, --> ,/,
and/CC --> and/CC
,/, --> ,/,
seeming/VBG --> seem/VBG
quite/RB --> quite/RB
friendly/JJ --> friendly/JJ
,/, --> ,/,
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
You/PRP --> you/PRP
poor/JJ --> poor/JJ
people/NNS --> people/NNS
,/, --> ,/,
let/VB --> let/VB
me/PRP --> I/PRP
have/VB --> have/VB
your/PRP$ --> you/PRP$
child/NN --> child/NN
,/, --> ,/,
and/CC --> and/CC
I/PRP --> I/PRP
will/MD --> will/MD
take/VB --> take/VB
care/NN --> care/NN
of/IN --> of/IN
it/PRP --> it/PRP
./. --> ./.
''/'' --> ''/''
At/IN --> at/IN
first/JJ --> first/JJ
they/PRP --> they/PRP
refused/VBD --> refuse/VBD
,/, --> ,/,
but/CC --> but/CC
when/WRB --> when/WRB
the/DT --> the/DT
stranger/NN --> stranger/NN
offered/VBD --> offer/VBD
them/PRP --> they/PRP
a/DT --> a/DT
large/JJ --> large/JJ
amount/NN --> amount/NN
of/IN --> of/IN
gold/NN --> gold/NN
for/IN --> for/IN
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
they/PRP --> they/PRP
thought/VBD --> think/VBD
,/, --> ,/,
``/`` --> ``/``
It/PRP --> it/PRP
is/VBZ --> be/VBZ
a/DT --> a/DT
luck-child/JJ --> luck-child/JJ
,/, --> ,/,
and/CC --> and/CC
everything/NN --> everything/NN
must/MD --> must/MD
turn/VB --> turn/VB
out/RP --> out/RP
well/RB --> well/RB
for/IN --> for/IN
it/PRP --> it/PRP
,/, --> ,/,
''/'' --> ''/''
they/PRP --> they/PRP
at/IN --> at/IN
last/JJ --> last/JJ
consented/VBD --> consent/VBD
,/, --> ,/,
and/CC --> and/CC
gave/VBD --> give/VBD
him/PRP --> he/PRP
the/DT --> the/DT
child/NN --> child/NN
./. --> ./.
The/DT --> the/DT
King/NNP --> King/NNP
put/VBD --> put/VBD
it/PRP --> it/PRP
in/IN --> in/IN
a/DT --> a/DT
box/NN --> box/NN
and/CC --> and/CC
rode/VBD --> ride/VBD
away/RP --> away/RP
with/IN --> with/IN
it/PRP --> it/PRP
until/IN --> until/IN
he/PRP --> he/PRP
came/VBD --> come/VBD
to/TO --> to/TO
a/DT --> a/DT
deep/JJ --> deep/JJ
piece/NN --> piece/NN
of/IN --> of/IN
water/NN --> water/NN
;/: --> ;/:
then/RB --> then/RB
he/PRP --> he/PRP
threw/VBD --> throw/VBD
the/DT --> the/DT
box/NN --> box/NN
into/IN --> into/IN
it/PRP --> it/PRP
and/CC --> and/CC
thought/VBD --> think/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
have/VBP --> have/VBP
freed/VBN --> free/VBN
my/PRP$ --> my/PRP$
daughter/NN --> daughter/NN
from/IN --> from/IN
her/PRP$ --> she/PRP$
unlooked-for/JJ --> unlooked-for/JJ
suitor/NN --> suitor/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
box/NN --> box/NN
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
did/VBD --> do/VBD
not/RB --> not/RB
sink/VB --> sink/VB
,/, --> ,/,
but/CC --> but/CC
floated/VBD --> float/VBD
like/IN --> like/IN
a/DT --> a/DT
boat/NN --> boat/NN
,/, --> ,/,
and/CC --> and/CC
not/RB --> not/RB
a/DT --> a/DT
drop/NN --> drop/NN
of/IN --> of/IN
water/NN --> water/NN
made/VBD --> make/VBD
its/PRP$ --> its/PRP$
way/NN --> way/NN
into/IN --> into/IN
it/PRP --> it/PRP
./. --> ./.
And/CC --> and/CC
it/PRP --> it/PRP
floated/VBD --> float/VBD
to/TO --> to/TO
within/IN --> within/IN
two/CD --> two/CD
miles/NNS --> mile/NNS
of/IN --> of/IN
the/DT --> the/DT
King/NNP --> King/NNP
's/POS --> 's/POS
chief/JJ --> chief/JJ
city/NN --> city/NN
,/, --> ,/,
where/WRB --> where/WRB
there/EX --> there/EX
was/VBD --> be/VBD
a/DT --> a/DT
mill/NN --> mill/NN
,/, --> ,/,
and/CC --> and/CC
it/PRP --> it/PRP
came/VBD --> come/VBD
to/TO --> to/TO
a/DT --> a/DT
stand-still/NN --> stand-still/NN
at/IN --> at/IN
the/DT --> the/DT
mill-dam/NN --> mill-dam/NN
./. --> ./.
A/DT --> a/DT
miller/NN --> miller/NN
's/POS --> 's/POS
boy/NN --> boy/NN
,/, --> ,/,
who/WP --> who/WP
by/IN --> by/IN
good/JJ --> good/JJ
luck/NN --> luck/NN
was/VBD --> be/VBD
standing/VBG --> stand/VBG
there/RB --> there/RB
,/, --> ,/,
noticed/VBD --> notice/VBD
it/PRP --> it/PRP
and/CC --> and/CC
pulled/VBD --> pull/VBD
it/PRP --> it/PRP
out/RP --> out/RP
with/IN --> with/IN
a/DT --> a/DT
hook/NN --> hook/NN
,/, --> ,/,
thinking/VBG --> think/VBG
that/IN --> that/IN
he/PRP --> he/PRP
had/VBD --> have/VBD
found/VBN --> find/VBN
a/DT --> a/DT
great/JJ --> great/JJ
treasure/NN --> treasure/NN
,/, --> ,/,
but/CC --> but/CC
when/WRB --> when/WRB
he/PRP --> he/PRP
opened/VBD --> open/VBD
it/PRP --> it/PRP
there/RB --> there/RB
lay/VBD --> lay/VBD
a/DT --> a/DT
pretty/JJ --> pretty/JJ
boy/NN --> boy/NN
inside/NN --> inside/NN
,/, --> ,/,
quite/RB --> quite/RB
fresh/JJ --> fresh/JJ
and/CC --> and/CC
lively/JJ --> lively/JJ
./. --> ./.
He/PRP --> he/PRP
took/VBD --> take/VBD
him/PRP --> he/PRP
to/TO --> to/TO
the/DT --> the/DT
miller/NN --> miller/NN
and/CC --> and/CC
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
,/, --> ,/,
and/CC --> and/CC
as/IN --> as/IN
they/PRP --> they/PRP
had/VBD --> have/VBD
no/DT --> no/DT
children/NNS --> child/NNS
they/PRP --> they/PRP
were/VBD --> be/VBD
glad/JJ --> glad/JJ
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
God/NNP --> God/NNP
has/VBZ --> have/VBZ
given/VBN --> give/VBN
him/PRP --> he/PRP
to/TO --> to/TO
us/PRP --> we/PRP
./. --> ./.
''/'' --> ''/''
They/PRP --> they/PRP
took/VBD --> take/VBD
great/JJ --> great/JJ
care/NN --> care/NN
of/IN --> of/IN
the/DT --> the/DT
foundling/NN --> foundling/NN
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
grew/VBD --> grow/VBD
up/RP --> up/RP
in/IN --> in/IN
all/DT --> all/DT
goodness/NN --> goodness/NN
./. --> ./.
It/PRP --> it/PRP
happened/VBD --> happen/VBD
that/IN --> that/IN
once/RB --> once/RB
in/IN --> in/IN
a/DT --> a/DT
storm/NN --> storm/NN
,/, --> ,/,
the/DT --> the/DT
King/NNP --> King/NNP
went/VBD --> go/VBD
into/IN --> into/IN
the/DT --> the/DT
mill/NN --> mill/NN
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
asked/VBD --> ask/VBD
the/DT --> the/DT
mill-folk/NN --> mill-folk/NN
if/IN --> if/IN
the/DT --> the/DT
tall/JJ --> tall/JJ
youth/NN --> youth/NN
was/VBD --> be/VBD
their/PRP$ --> they/PRP$
son/NN --> son/NN
./. --> ./.
``/`` --> ``/``
No/DT --> no/DT
,/, --> ,/,
''/'' --> ''/''
answered/VBD --> answer/VBD
they/PRP --> they/PRP
,/, --> ,/,
``/`` --> ``/``
he/PRP --> he/PRP
's/VBZ --> be/VBZ
a/DT --> a/DT
foundling/NN --> foundling/NN
./. --> ./.
Fourteen/CD --> fourteen/CD
years/NNS --> year/NNS
ago/IN --> ago/IN
he/PRP --> he/PRP
floated/VBD --> float/VBD
down/RP --> down/RP
to/TO --> to/TO
the/DT --> the/DT
mill-dam/NN --> mill-dam/NN
in/IN --> in/IN
a/DT --> a/DT
box/NN --> box/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
mill-boy/JJ --> mill-boy/JJ
pulled/VBD --> pull/VBD
him/PRP --> he/PRP
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
water/NN --> water/NN
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
the/DT --> the/DT
King/NNP --> King/NNP
knew/VBD --> know/VBD
that/IN --> that/IN
it/PRP --> it/PRP
was/VBD --> be/VBD
none/NN --> none/NN
other/JJ --> other/JJ
than/IN --> than/IN
the/DT --> the/DT
luck-child/JJ --> luck-child/JJ
which/WDT --> which/WDT
he/PRP --> he/PRP
had/VBD --> have/VBD
thrown/VBN --> throw/VBN
into/IN --> into/IN
the/DT --> the/DT
water/NN --> water/NN
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
My/PRP$ --> my/PRP$
good/JJ --> good/JJ
people/NNS --> people/NNS
,/, --> ,/,
could/MD --> could/MD
not/RB --> not/RB
the/DT --> the/DT
youth/NN --> youth/NN
take/VB --> take/VB
a/DT --> a/DT
letter/NN --> letter/NN
to/TO --> to/TO
the/DT --> the/DT
Queen/NNP --> Queen/NNP
;/: --> ;/:
I/PRP --> I/PRP
will/MD --> will/MD
give/VB --> give/VB
him/PRP --> he/PRP
two/CD --> two/CD
gold/JJ --> gold/JJ
pieces/NNS --> piece/NNS
as/IN --> as/IN
a/DT --> a/DT
reward/NN --> reward/NN
?/. --> ?/.
''/'' --> ''/''
``/`` --> ``/``
Just/RB --> just/RB
as/IN --> as/IN
the/DT --> the/DT
King/NNP --> King/NNP
commands/NNS --> command/NNS
,/, --> ,/,
''/'' --> ''/''
answered/VBD --> answer/VBD
they/PRP --> they/PRP
,/, --> ,/,
and/CC --> and/CC
they/PRP --> they/PRP
told/VBD --> tell/VBD
the/DT --> the/DT
boy/NN --> boy/NN
to/TO --> to/TO
hold/VB --> hold/VB
himself/PRP --> himself/PRP
in/IN --> in/IN
readiness/NN --> readiness/NN
./. --> ./.
Then/RB --> then/RB
the/DT --> the/DT
King/NNP --> King/NNP
wrote/VBD --> write/VBD
a/DT --> a/DT
letter/NN --> letter/NN
to/TO --> to/TO
the/DT --> the/DT
Queen/NNP --> Queen/NNP
,/, --> ,/,
wherein/NN --> wherein/NN
he/PRP --> he/PRP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
As/RB --> as/RB
soon/RB --> soon/RB
as/IN --> as/IN
the/DT --> the/DT
boy/NN --> boy/NN
arrives/VBZ --> arrive/VBZ
with/IN --> with/IN
this/DT --> this/DT
letter/NN --> letter/NN
,/, --> ,/,
let/VB --> let/VB
him/PRP --> he/PRP
be/VB --> be/VB
killed/VBN --> kill/VBN
and/CC --> and/CC
buried/VBN --> bury/VBN
,/, --> ,/,
and/CC --> and/CC
all/DT --> all/DT
must/MD --> must/MD
be/VB --> be/VB
done/VBN --> do/VBN
before/IN --> before/IN
I/PRP --> I/PRP
come/VBP --> come/VBP
home/NN --> home/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
boy/NN --> boy/NN
set/VBN --> set/VBN
out/RP --> out/RP
with/IN --> with/IN
this/DT --> this/DT
letter/NN --> letter/NN
;/: --> ;/:
but/CC --> but/CC
he/PRP --> he/PRP
lost/VBD --> lose/VBD
his/PRP$ --> he/PRP$
way/NN --> way/NN
,/, --> ,/,
and/CC --> and/CC
in/IN --> in/IN
the/DT --> the/DT
evening/NN --> evening/NN
came/VBD --> come/VBD
to/TO --> to/TO
a/DT --> a/DT
large/JJ --> large/JJ
forest/NN --> forest/NN
./. --> ./.
In/IN --> in/IN
the/DT --> the/DT
darkness/NN --> darkness/NN
he/PRP --> he/PRP
saw/VBD --> see/VBD
a/DT --> a/DT
