<title>/IN --> IN/IN
165/CD --> 165/CD
The/DT --> the/DT
Griffin/NNP --> Griffin/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
upon/IN --> upon/IN
a/DT --> a/DT
time/NN --> time/NN
a/DT --> a/DT
King/NNP --> King/NNP
,/, --> ,/,
but/CC --> but/CC
where/WRB --> where/WRB
he/PRP --> he/PRP
reigned/VBD --> reign/VBD
and/CC --> and/CC
what/WP --> what/WP
he/PRP --> he/PRP
was/VBD --> be/VBD
called/VBN --> call/VBN
,/, --> ,/,
I/PRP --> I/PRP
do/VBP --> do/VBP
not/RB --> not/RB
know/VB --> know/VB
./. --> ./.
He/PRP --> he/PRP
had/VBD --> have/VBD
no/DT --> no/DT
son/NN --> son/NN
,/, --> ,/,
but/CC --> but/CC
an/DT --> a/DT
only/JJ --> only/JJ
daughter/NN --> daughter/NN
who/WP --> who/WP
had/VBD --> have/VBD
always/RB --> always/RB
been/VBN --> be/VBN
ill/RB --> ill/RB
,/, --> ,/,
and/CC --> and/CC
no/DT --> no/DT
doctor/NN --> doctor/NN
had/VBD --> have/VBD
been/VBN --> be/VBN
able/JJ --> able/JJ
to/TO --> to/TO
cure/VB --> cure/VB
her/PRP --> she/PRP
./. --> ./.
Then/RB --> then/RB
it/PRP --> it/PRP
was/VBD --> be/VBD
foretold/VBN --> foretell/VBN
to/TO --> to/TO
the/DT --> the/DT
King/NNP --> King/NNP
that/IN --> that/IN
his/PRP$ --> he/PRP$
daughter/NN --> daughter/NN
should/MD --> should/MD
eat/VB --> eat/VB
herself/PRP --> herself/PRP
well/RB --> well/RB
with/IN --> with/IN
an/DT --> a/DT
apple/NN --> apple/NN
./. --> ./.
So/IN --> so/IN
he/PRP --> he/PRP
ordered/VBD --> order/VBD
it/PRP --> it/PRP
to/TO --> to/TO
be/VB --> be/VB
proclaimed/VBN --> proclaim/VBN
throughout/IN --> throughout/IN
the/DT --> the/DT
whole/NN --> whole/NN
of/IN --> of/IN
his/PRP$ --> he/PRP$
kingdom/NN --> kingdom/NN
,/, --> ,/,
that/IN --> that/IN
whosoever/NN --> whosoever/NN
brought/VBD --> bring/VBD
his/PRP$ --> he/PRP$
daughter/NN --> daughter/NN
an/DT --> a/DT
apple/NN --> apple/NN
with/IN --> with/IN
which/WDT --> which/WDT
she/PRP --> she/PRP
could/MD --> could/MD
eat/VB --> eat/VB
herself/PRP --> herself/PRP
well/RB --> well/RB
,/, --> ,/,
should/MD --> should/MD
have/VB --> have/VB
her/PRP$ --> she/PRP$
to/TO --> to/TO
wife/NN --> wife/NN
,/, --> ,/,
and/CC --> and/CC
be/VB --> be/VB
King/NNP --> King/NNP
./. --> ./.
This/DT --> this/DT
became/VBD --> become/VBD
known/VBN --> know/VBN
to/TO --> to/TO
a/DT --> a/DT
peasant/NN --> peasant/NN
who/WP --> who/WP
had/VBD --> have/VBD
three/CD --> three/CD
sons/NNS --> son/NNS
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
said/VBD --> say/VBD
to/TO --> to/TO
the/DT --> the/DT
eldest/NN --> eldest/NN
,/, --> ,/,
``/`` --> ``/``
Go/VB --> go/VB
out/RP --> out/RP
into/IN --> into/IN
the/DT --> the/DT
garden/NN --> garden/NN
and/CC --> and/CC
take/VB --> take/VB
a/DT --> a/DT
basketful/NN --> basketful/NN
of/IN --> of/IN
those/DT --> those/DT
beautiful/JJ --> beautiful/JJ
apples/NNS --> apple/NNS
with/IN --> with/IN
the/DT --> the/DT
red/JJ --> red/JJ
cheeks/NNS --> cheek/NNS
and/CC --> and/CC
carry/VB --> carry/VB
them/PRP --> they/PRP
to/TO --> to/TO
the/DT --> the/DT
court/NN --> court/NN
;/: --> ;/:
perhaps/RB --> perhaps/RB
the/DT --> the/DT
King/NNP --> King/NNP
's/POS --> 's/POS
daughter/NN --> daughter/NN
will/MD --> will/MD
be/VB --> be/VB
able/JJ --> able/JJ
to/TO --> to/TO
eat/VB --> eat/VB
herself/PRP --> herself/PRP
well/RB --> well/RB
with/IN --> with/IN
them/PRP --> they/PRP
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
thou/VB --> thou/VB
wilt/NN --> wilt/NN
marry/VB --> marry/VB
her/PRP$ --> she/PRP$
and/CC --> and/CC
be/VB --> be/VB
King/NNP --> King/NNP
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
lad/NN --> lad/NN
did/VBD --> do/VBD
so/RB --> so/RB
,/, --> ,/,
and/CC --> and/CC
set/VBN --> set/VBN
out/RP --> out/RP
./. --> ./.
When/WRB --> when/WRB
he/PRP --> he/PRP
had/VBD --> have/VBD
gone/VBN --> go/VBN
a/DT --> a/DT
short/JJ --> short/JJ
way/NN --> way/NN
he/PRP --> he/PRP
met/VBD --> meet/VBD
