<title>/IN --> IN/IN
180/CD --> 180/CD
Eve/NNP --> Eve/NNP
's/POS --> 's/POS
Various/JJ --> various/JJ
Children/NNP --> Children/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
When/WRB --> when/WRB
Adam/NNP --> Adam/NNP
and/CC --> and/CC
Eve/NNP --> Eve/NNP
were/VBD --> be/VBD
driven/VBN --> drive/VBN
out/IN --> out/IN
of/IN --> of/IN
Paradise/NNP --> Paradise/NNP
,/, --> ,/,
they/PRP --> they/PRP
were/VBD --> be/VBD
compelled/VBN --> compel/VBN
to/TO --> to/TO
build/VB --> build/VB
a/DT --> a/DT
house/NN --> house/NN
for/IN --> for/IN
themselves/PRP --> themselves/PRP
on/IN --> on/IN
unfruitful/JJ --> unfruitful/JJ
ground/NN --> ground/NN
,/, --> ,/,
and/CC --> and/CC
eat/VB --> eat/VB
their/PRP$ --> they/PRP$
bread/NN --> bread/NN
in/IN --> in/IN
the/DT --> the/DT
sweat/NN --> sweat/NN
of/IN --> of/IN
their/PRP$ --> they/PRP$
brow/NN --> brow/NN
./. --> ./.
Adam/NNP --> Adam/NNP
dug/VBD --> dig/VBD
up/RP --> up/RP
the/DT --> the/DT
land/NN --> land/NN
,/, --> ,/,
and/CC --> and/CC
Eve/NNP --> Eve/NNP
span/NN --> span/NN
./. --> ./.
Every/DT --> every/DT
year/NN --> year/NN
Eve/NNP --> Eve/NNP
brought/VBD --> bring/VBD
a/DT --> a/DT
child/NN --> child/NN
into/IN --> into/IN
the/DT --> the/DT
world/NN --> world/NN
;/: --> ;/:
but/CC --> but/CC
the/DT --> the/DT
children/NNS --> child/NNS
were/VBD --> be/VBD
unlike/IN --> unlike/IN
each/DT --> each/DT
other/JJ --> other/JJ
,/, --> ,/,
some/DT --> some/DT
pretty/RB --> pretty/RB
,/, --> ,/,
and/CC --> and/CC
some/DT --> some/DT
ugly/JJ --> ugly/JJ
./. --> ./.
After/IN --> after/IN
a/DT --> a/DT
considerable/JJ --> considerable/JJ
time/NN --> time/NN
had/VBD --> have/VBD
gone/VBN --> go/VBN
by/IN --> by/IN
,/, --> ,/,
God/NNP --> God/NNP
sent/VBD --> send/VBD
an/DT --> a/DT
angel/NN --> angel/NN
to/TO --> to/TO
them/PRP --> they/PRP
,/, --> ,/,
to/TO --> to/TO
announce/VB --> announce/VB
that/IN --> that/IN
he/PRP --> he/PRP
was/VBD --> be/VBD
coming/VBG --> come/VBG
to/TO --> to/TO
inspect/VB --> inspect/VB
their/PRP$ --> they/PRP$
household/NN --> household/NN
./. --> ./.
Eve/NNP --> Eve/NNP
,/, --> ,/,
delighted/VBD --> delight/VBD
that/IN --> that/IN
the/DT --> the/DT
Lord/NNP --> Lord/NNP
should/MD --> should/MD
be/VB --> be/VB
so/RB --> so/RB
gracious/JJ --> gracious/JJ
,/, --> ,/,
cleaned/VBD --> clean/VBD
her/PRP$ --> she/PRP$
house/NN --> house/NN
diligently/RB --> diligently/RB
,/, --> ,/,
decked/VBD --> deck/VBD
it/PRP --> it/PRP
with/IN --> with/IN
flowers/NNS --> flower/NNS
,/, --> ,/,
and/CC --> and/CC
strewed/VBD --> strew/VBD
reeds/NNS --> reed/NNS
on/IN --> on/IN
the/DT --> the/DT
floor/NN --> floor/NN
./. --> ./.
Then/RB --> then/RB
she/PRP --> she/PRP
brought/VBD --> bring/VBD
in/IN --> in/IN
her/PRP$ --> she/PRP$
children/NNS --> child/NNS
,/, --> ,/,
but/CC --> but/CC
only/RB --> only/RB
the/DT --> the/DT
beautiful/JJ --> beautiful/JJ
