<title>/VB --> VB/VB
HOW/NNP --> HOW/NNP
THE/DT --> the/DT
RAJA/NNP --> RAJA/NNP
'S/VBZ --> be/VBZ
SON/NNP --> SON/NNP
WON/NNP --> WON/NNP
THE/DT --> the/DT
PRINCESS/NNP --> PRINCESS/NNP
LABAM/NNP --> LABAM/NNP
</title>/VBD --> VBD/VBD
<author>/NNP --> NNP/NNP
Indian/NNP --> Indian/NNP
Writer/NNP --> Writer/NNP
</author>/NNP --> NNP/NNP
In/IN --> in/IN
a/DT --> a/DT
country/NN --> country/NN
there/EX --> there/EX
was/VBD --> be/VBD
a/DT --> a/DT
Raja/NNP --> Raja/NNP
who/WP --> who/WP
had/VBD --> have/VBD
an/DT --> a/DT
only/JJ --> only/JJ
son/NN --> son/NN
who/WP --> who/WP
every/DT --> every/DT
day/NN --> day/NN
went/VBD --> go/VBD
out/RB --> out/RB
to/TO --> to/TO
hunt/NN --> hunt/NN
./. --> ./.
One/CD --> one/CD
day/NN --> day/NN
the/DT --> the/DT
Rani/NNP --> Rani/NNP
,/, --> ,/,
his/PRP$ --> he/PRP$
mother/NN --> mother/NN
,/, --> ,/,
said/VBD --> say/VBD
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
``/`` --> ``/``
You/PRP --> you/PRP
can/MD --> can/MD
hunt/NN --> hunt/NN
wherever/WRB --> wherever/WRB
you/PRP --> you/PRP
like/VBP --> like/VBP
on/IN --> on/IN
these/DT --> these/DT
three/CD --> three/CD
sides/NNS --> side/NNS
;/: --> ;/:
but/CC --> but/CC
you/PRP --> you/PRP
must/MD --> must/MD
never/RB --> never/RB
go/VB --> go/VB
to/TO --> to/TO
the/DT --> the/DT
fourth/JJ --> fourth/JJ
side/NN --> side/NN
./. --> ./.
''/'' --> ''/''
This/DT --> this/DT
she/PRP --> she/PRP
said/VBD --> say/VBD
because/IN --> because/IN
she/PRP --> she/PRP
knew/VBD --> know/VBD
if/IN --> if/IN
he/PRP --> he/PRP
went/VBD --> go/VBD
on/IN --> on/IN
the/DT --> the/DT
fourth/JJ --> fourth/JJ
side/NN --> side/NN
he/PRP --> he/PRP
would/MD --> would/MD
hear/VB --> hear/VB
of/IN --> of/IN
the/DT --> the/DT
beautiful/JJ --> beautiful/JJ
Princess/NNP --> Princess/NNP
Labam/NNP --> Labam/NNP
,/, --> ,/,
and/CC --> and/CC
that/IN --> that/IN
then/RB --> then/RB
he/PRP --> he/PRP
would/MD --> would/MD
leave/VB --> leave/VB
his/PRP$ --> he/PRP$
father/NN --> father/NN
and/CC --> and/CC
mother/NN --> mother/NN
and/CC --> and/CC
seek/VB --> seek/VB
for/IN --> for/IN
the/DT --> the/DT
princess/NN --> princess/NN
./. --> ./.
The/DT --> the/DT
