<title>/IN --> IN/IN
THE/DT --> the/DT
SNOW/NN --> snow/NN
MAN/NN --> man/NN
./. --> ./.
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
H./NNP --> H./NNP
C./NNP --> C./NNP
Andersen/NNP --> Andersen/NNP
</author>/NNP --> NNP/NNP
``/`` --> ``/``
It/PRP --> it/PRP
's/VBZ --> be/VBZ
so/RB --> so/RB
wonderfully/RB --> wonderfully/RB
cold/JJ --> cold/JJ
that/IN --> that/IN
my/PRP$ --> my/PRP$
whole/JJ --> whole/JJ
body/NN --> body/NN
crackles/NNS --> crackle/NNS
!/. --> !/.
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
Snow/NNP --> Snow/NNP
Man/NN --> man/NN
./. --> ./.
``/`` --> ``/``
This/DT --> this/DT
is/VBZ --> be/VBZ
a/DT --> a/DT
kind/NN --> kind/NN
of/IN --> of/IN
wind/NN --> wind/NN
that/WDT --> that/WDT
can/MD --> can/MD
blow/VB --> blow/VB
life/NN --> life/NN
into/IN --> into/IN
one/CD --> one/CD
;/: --> ;/:
and/CC --> and/CC
how/WRB --> how/WRB
the/DT --> the/DT
gleaming/VBG --> gleam/VBG
one/CD --> one/CD
up/RP --> up/RP
yonder/NN --> yonder/NN
is/VBZ --> be/VBZ
staring/VBG --> stare/VBG
at/IN --> at/IN
me/PRP --> I/PRP
./. --> ./.
''/'' --> ''/''
He/PRP --> he/PRP
meant/VBD --> mean/VBD
the/DT --> the/DT
sun/NN --> sun/NN
,/, --> ,/,
which/WDT --> which/WDT
was/VBD --> be/VBD
just/RB --> just/RB
about/IN --> about/IN
to/TO --> to/TO
set/VB --> set/VB
./. --> ./.
``/`` --> ``/``
It/PRP --> it/PRP
shall/MD --> shall/MD
not/RB --> not/RB
make/VB --> make/VB
_/NN --> _/NN
me/PRP --> I/PRP
_/VBP --> _/VBP
wink/JJ --> wink/JJ
--/: --> --/:
I/PRP --> I/PRP
shall/MD --> shall/MD
manage/VB --> manage/VB
to/TO --> to/TO
keep/VB --> keep/VB
the/DT --> the/DT
pieces/NNS --> piece/NNS
./. --> ./.
''/'' --> ''/''
He/PRP --> he/PRP
had/VBD --> have/VBD
two/CD --> two/CD
triangular/JJ --> triangular/JJ
pieces/NNS --> piece/NNS
of/IN --> of/IN
tile/NN --> tile/NN
in/IN --> in/IN
his/PRP$ --> he/PRP$
head/NN --> head/NN
instead/RB --> instead/RB
of/IN --> of/IN
eyes/NNS --> eye/NNS
./. --> ./.
His/PRP$ --> he/PRP$
mouth/NN --> mouth/NN
was/VBD --> be/VBD
made/VBN --> make/VBN
of/IN --> of/IN
an/DT --> a/DT
old/JJ --> old/JJ
rake/NN --> rake/NN
,/, --> ,/,
and/CC --> and/CC
consequently/RB --> consequently/RB
was/VBD --> be/VBD
furnished/VBN --> furnish/VBN
with/IN --> with/IN
teeth/NNS --> tooth/NNS
./. --> ./.
He/PRP --> he/PRP
had/VBD --> have/VBD
been/VBN --> be/VBN
born/VBN --> bear/VBN
amid/IN --> amid/IN
the/DT --> the/DT
joyous/NN --> joyous/NN
shouts/VBZ --> shout/VBZ
of/IN --> of/IN
the/DT --> the/DT
boys/NNS --> boy/NNS
,/, --> ,/,
and/CC --> and/CC
welcomed/VBN --> welcome/VBN
by/IN --> by/IN
the/DT --> the/DT
sound/NN --> sound/NN
of/IN --> of/IN
sledge/NN --> sledge/NN
bells/NNS --> bell/NNS
and/CC --> and/CC
the/DT --> the/DT
slashing/VBG --> slash/VBG
of/IN --> of/IN
whips/VBZ --> whip/VBZ
./. --> ./.
The/DT --> the/DT
sun/NN --> sun/NN
went/VBD --> go/VBD
down/RB --> down/RB
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
full/JJ --> full/JJ
moon/NN --> moon/NN
rose/VBD --> rise/VBD
,/, --> ,/,
round/NN --> round/NN
,/, --> ,/,
large/JJ --> large/JJ
,/, --> ,/,
clear/JJ --> clear/JJ
,/, --> ,/,
and/CC --> and/CC
beautiful/JJ --> beautiful/JJ
in/IN --> in/IN
the/DT --> the/DT
blue/JJ --> blue/JJ
air/NN --> air/NN
./. --> ./.
``/`` --> ``/``
There/EX --> there/EX
it/PRP --> it/PRP
comes/VBZ --> come/VBZ
again/RB --> again/RB
from/IN --> from/IN
the/DT --> the/DT
other/JJ --> other/JJ
side/NN --> side/NN
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
Snow/NNP --> Snow/NNP
Man/NN --> man/NN
./. --> ./.
He/PRP --> he/PRP
intended/VBD --> intend/VBD
to/TO --> to/TO
say/VB --> say/VB
the/DT --> the/DT
sun/NN --> sun/NN
is/VBZ --> be/VBZ
showing/VBG --> show/VBG
himself/PRP --> himself/PRP
again/RB --> again/RB
./. --> ./.
``/`` --> ``/``
Ah/UH --> ah/UH
!/. --> !/.
I/PRP --> I/PRP
have/VBP --> have/VBP
cured/VBN --> cure/VBN
him/PRP --> he/PRP
of/IN --> of/IN
staring/VBG --> stare/VBG
./. --> ./.
Now/RB --> now/RB
let/VB --> let/VB
him/PRP --> he/PRP
hang/VB --> hang/VB
up/RP --> up/RP
there/EX --> there/EX
and/CC --> and/CC
shine/NN --> shine/NN
,/, --> ,/,
that/IN --> that/IN
I/PRP --> I/PRP
may/MD --> may/MD
see/VB --> see/VB
myself/PRP --> myself/PRP
./. --> ./.
If/IN --> if/IN
I/PRP --> I/PRP
only/RB --> only/RB
