<title>/IN --> IN/IN
38/CD --> 38/CD
The/DT --> the/DT
Wedding/NN --> wedding/NN
of/IN --> of/IN
Mrs./NNP --> Mrs./NNP
Fox/NNP --> Fox/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
FIRST/NNP --> FIRST/NNP
STORY/NNP --> STORY/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
on/IN --> on/IN
a/DT --> a/DT
time/NN --> time/NN
an/DT --> a/DT
old/JJ --> old/JJ
fox/NN --> fox/NN
with/IN --> with/IN
nine/CD --> nine/CD
tails/NNS --> tail/NNS
,/, --> ,/,
who/WP --> who/WP
believed/VBD --> believe/VBD
that/IN --> that/IN
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
was/VBD --> be/VBD
not/RB --> not/RB
faithful/JJ --> faithful/JJ
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
wished/VBD --> wish/VBD
to/TO --> to/TO
try/VB --> try/VB
her/PRP --> she/PRP
./. --> ./.
He/PRP --> he/PRP
stretched/VBD --> stretch/VBD
himself/PRP --> himself/PRP
out/RP --> out/RP
under/IN --> under/IN
the/DT --> the/DT
bench/NN --> bench/NN
,/, --> ,/,
did/VBD --> do/VBD
not/RB --> not/RB
move/VB --> move/VB
a/DT --> a/DT
limb/NN --> limb/NN
,/, --> ,/,
and/CC --> and/CC
behaved/VBD --> behave/VBD
as/IN --> as/IN
if/IN --> if/IN
he/PRP --> he/PRP
were/VBD --> be/VBD
stone/NN --> stone/NN
dead/NN --> dead/NN
./. --> ./.
Mrs./NNP --> Mrs./NNP
Fox/NNP --> Fox/NNP
went/VBD --> go/VBD
up/RB --> up/RB
to/TO --> to/TO
her/PRP$ --> she/PRP$
room/NN --> room/NN
,/, --> ,/,
shut/VBD --> shut/VBD
herself/PRP --> herself/PRP
in/IN --> in/IN
,/, --> ,/,
and/CC --> and/CC
her/PRP$ --> she/PRP$
maid/NN --> maid/NN
,/, --> ,/,
Miss/NNP --> Miss/NNP
Cat/NNP --> Cat/NNP
,/, --> ,/,
sat/VBN --> sit/VBN
by/IN --> by/IN
the/DT --> the/DT
fire/NN --> fire/NN
,/, --> ,/,
and/CC --> and/CC
did/VBD --> do/VBD
the/DT --> the/DT
cooking/NN --> cooking/NN
./. --> ./.
When/WRB --> when/WRB
it/PRP --> it/PRP
became/VBD --> become/VBD
known/VBN --> know/VBN
that/IN --> that/IN
the/DT --> the/DT
old/JJ --> old/JJ
fox/NN --> fox/NN
was/VBD --> be/VBD
dead/JJ --> dead/JJ
,/, --> ,/,
wooers/NNS --> wooer/NNS
presented/VBD --> present/VBD
themselves/PRP --> themselves/PRP
./. --> ./.
The/DT --> the/DT
maid/NN --> maid/NN
heard/VBD --> hear/VBD
some/DT --> some/DT
one/CD --> one/CD
standing/NN --> standing/NN
at/IN --> at/IN
the/DT --> the/DT
house-door/NN --> house-door/NN
,/, --> ,/,
knocking/VBG --> knock/VBG
./. --> ./.
She/PRP --> she/PRP
went/VBD --> go/VBD
and/CC --> and/CC
opened/VBD --> open/VBD
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
it/PRP --> it/PRP
was/VBD --> be/VBD
a/DT --> a/DT
