<title>/IN --> IN/IN
THE/DT --> the/DT
TALE/NN --> tale/NN
OF/IN --> of/IN
TWO/CD --> two/CD
BAD/NNP --> BAD/NNP
MICE/NNP --> MICE/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Beatrix/NNP --> Beatrix/NNP
Potter/NNP --> Potter/NNP
</author>/VBD --> VBD/VBD
ONCE/RB --> once/RB
upon/IN --> upon/IN
a/DT --> a/DT
time/NN --> time/NN
there/EX --> there/EX
was/VBD --> be/VBD
a/DT --> a/DT
very/RB --> very/RB
beautiful/JJ --> beautiful/JJ
doll/NN --> doll/NN
's/POS --> 's/POS
house/NN --> house/NN
;/: --> ;/:
it/PRP --> it/PRP
was/VBD --> be/VBD
red/JJ --> red/JJ
brick/NN --> brick/NN
with/IN --> with/IN
white/JJ --> white/JJ
windows/NNS --> window/NNS
,/, --> ,/,
and/CC --> and/CC
it/PRP --> it/PRP
had/VBD --> have/VBD
real/JJ --> real/JJ
muslin/NN --> muslin/NN
curtains/NNS --> curtain/NNS
and/CC --> and/CC
a/DT --> a/DT
front/JJ --> front/JJ
door/NN --> door/NN
and/CC --> and/CC
a/DT --> a/DT
chimney/NN --> chimney/NN
./. --> ./.
IT/PRP --> it/PRP
belonged/VBD --> belong/VBD
to/TO --> to/TO
two/CD --> two/CD
Dolls/NNS --> doll/NNS
called/VBN --> call/VBN
Lucinda/NNP --> Lucinda/NNP
and/CC --> and/CC
Jane/NNP --> Jane/NNP
;/: --> ;/:
at/IN --> at/IN
least/JJS --> least/JJS
it/PRP --> it/PRP
belonged/VBD --> belong/VBD
to/TO --> to/TO
Lucinda/NNP --> Lucinda/NNP
,/, --> ,/,
but/CC --> but/CC
she/PRP --> she/PRP
never/RB --> never/RB
ordered/VBD --> order/VBD
meals/NNS --> meal/NNS
./. --> ./.
Jane/NNP --> Jane/NNP
was/VBD --> be/VBD
the/DT --> the/DT
Cook/NNP --> Cook/NNP
;/: --> ;/:
but/CC --> but/CC
she/PRP --> she/PRP
never/RB --> never/RB
did/VBD --> do/VBD
any/DT --> any/DT
cooking/NN --> cooking/NN
,/, --> ,/,
because/IN --> because/IN
the/DT --> the/DT
dinner/NN --> dinner/NN
had/VBD --> have/VBD
been/VBN --> be/VBN
bought/VBN --> buy/VBN
ready-made/JJ --> ready-made/JJ
,/, --> ,/,
in/IN --> in/IN
a/DT --> a/DT
box/NN --> box/NN
full/JJ --> full/JJ
of/IN --> of/IN
shavings/NNS --> shaving/NNS
./. --> ./.
THERE/NNP --> THERE/NNP
were/VBD --> be/VBD
two/CD --> two/CD
red/JJ --> red/JJ
lobsters/NNS --> lobster/NNS
,/, --> ,/,
and/CC --> and/CC
a/DT --> a/DT
ham/NN --> ham/NN
,/, --> ,/,
a/DT --> a/DT
fish/NN --> fish/NN
,/, --> ,/,
a/DT --> a/DT
pudding/NN --> pudding/NN
,/, --> ,/,
and/CC --> and/CC
some/DT --> some/DT
pears/NNS --> pear/NNS
and/CC --> and/CC
oranges/NNS --> orange/NNS
./. --> ./.
They/PRP --> they/PRP
would/MD --> would/MD
not/RB --> not/RB
come/VB --> come/VB
off/RP --> off/RP
the/DT --> the/DT
plates/NNS --> plate/NNS
,/, --> ,/,
but/CC --> but/CC
they/PRP --> they/PRP
were/VBD --> be/VBD
extremely/RB --> extremely/RB
beautiful/JJ --> beautiful/JJ
./. --> ./.
ONE/CD --> one/CD
morning/NN --> morning/NN
Lucinda/NNP --> Lucinda/NNP
and/CC --> and/CC
Jane/NNP --> Jane/NNP
had/VBD --> have/VBD
gone/VBN --> go/VBN
out/RP --> out/RP
for/IN --> for/IN
a/DT --> a/DT
drive/NN --> drive/NN
in/IN --> in/IN
the/DT --> the/DT
doll/NN --> doll/NN
's/POS --> 's/POS
perambulator/NN --> perambulator/NN
./. --> ./.
There/EX --> there/EX
was/VBD --> be/VBD
no/DT --> no/DT
one/NN --> one/NN
in/IN --> in/IN
the/DT --> the/DT
nursery/NN --> nursery/NN
,/, --> ,/,
and/CC --> and/CC
it/PRP --> it/PRP
was/VBD --> be/VBD
very/RB --> very/RB
quiet/JJ --> quiet/JJ
./. --> ./.
Presently/RB --> presently/RB
there/EX --> there/EX
was/VBD --> be/VBD
a/DT --> a/DT
little/JJ --> little/JJ
scuffling/NN --> scuffling/NN
,/, --> ,/,
scratching/VBG --> scratch/VBG
noise/NN --> noise/NN
in/IN --> in/IN
a/DT --> a/DT
corner/NN --> corner/NN
near/IN --> near/IN
the/DT --> the/DT
fireplace/NN --> fireplace/NN
,/, --> ,/,
where/WRB --> where/WRB
there/EX --> there/EX
was/VBD --> be/VBD
a/DT --> a/DT
hole/NN --> hole/NN
under/IN --> under/IN
the/DT --> the/DT
skirting-board/NN --> skirting-board/NN
./. --> ./.
Tom/NNP --> Tom/NNP
Thumb/NNP --> Thumb/NNP
put/VBD --> put/VBD
out/RP --> out/RP
his/PRP$ --> he/PRP$
head/NN --> head/NN
for/IN --> for/IN
a/DT --> a/DT
moment/NN --> moment/NN
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
popped/VBD --> pop/VBD
it/PRP --> it/PRP
in/IN --> in/IN
again/RB --> again/RB
./. --> ./.
Tom/NNP --> Tom/NNP
Thumb/NNP --> Thumb/NNP
was/VBD --> be/VBD
a/DT --> a/DT
mouse/NN --> mouse/NN
./. --> ./.
A/DT --> a/DT
MINUTE/NN --> minute/NN
afterwards/RB --> afterwards/RB
Hunca/NNP --> Hunca/NNP
Munca/NNP --> Munca/NNP
,/, --> ,/,
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
,/, --> ,/,
put/VBD --> put/VBD
her/PRP$ --> she/PRP$
head/NN --> head/NN
out/RP --> out/RP
,/, --> ,/,
too/RB --> too/RB
;/: --> ;/:
and/CC --> and/CC
when/WRB --> when/WRB
she/PRP --> she/PRP
saw/VBD --> see/VBD
that/IN --> that/IN
there/EX --> there/EX
was/VBD --> be/VBD
no/DT --> no/DT
one/NN --> one/NN
in/IN --> in/IN
the/DT --> the/DT
nursery/NN --> nursery/NN
,/, --> ,/,
she/PRP --> she/PRP
ventured/VBD --> venture/VBD
out/RP --> out/RP
on/IN --> on/IN
the/DT --> the/DT
oilcloth/NN --> oilcloth/NN
under/IN --> under/IN
the/DT --> the/DT
coal-box/NN --> coal-box/NN
./. --> ./.
THE/DT --> the/DT
doll/NN --> doll/NN
's/POS --> 's/POS
house/NN --> house/NN
stood/VBD --> stand/VBD
at/IN --> at/IN
the/DT --> the/DT
other/JJ --> other/JJ
side/NN --> side/NN
of/IN --> of/IN
the/DT --> the/DT
fireplace/NN --> fireplace/NN
./. --> ./.
Tom/NNP --> Tom/NNP
Thumb/NNP --> Thumb/NNP
and/CC --> and/CC
Hunca/NNP --> Hunca/NNP
Munca/NNP --> Munca/NNP
went/VBD --> go/VBD
cautiously/RB --> cautiously/RB
across/IN --> across/IN
the/DT --> the/DT
hearth-rug/NN --> hearth-rug/NN
./. --> ./.
They/PRP --> they/PRP
pushed/VBD --> push/VBD
the/DT --> the/DT
front/JJ --> front/JJ
door/NN --> door/NN
--/: --> --/:
it/PRP --> it/PRP
was/VBD --> be/VBD
not/RB --> not/RB
fast/RB --> fast/RB
./. --> ./.
TOM/NNP --> TOM/NNP
THUMB/NNP --> THUMB/NNP
and/CC --> and/CC
Hunca/NNP --> Hunca/NNP
Munca/NNP --> Munca/NNP
went/VBD --> go/VBD
up-stairs/NNS --> up-stairs/NNS
and/CC --> and/CC
peeped/VBN --> peep/VBN
into/IN --> into/IN
the/DT --> the/DT
dining/NN --> dining/NN
-/: --> -/:
room/NN --> room/NN
./. --> ./.
Then/RB --> then/RB
they/PRP --> they/PRP
squeaked/VBD --> squeak/VBD
with/IN --> with/IN
joy/NN --> joy/NN
!/. --> !/.
Such/JJ --> such/JJ
a/DT --> a/DT
lovely/JJ --> lovely/JJ
dinner/NN --> dinner/NN
was/VBD --> be/VBD
laid/VBN --> lay/VBN
out/RP --> out/RP
upon/IN --> upon/IN
the/DT --> the/DT
table/NN --> table/NN
!/. --> !/.
There/EX --> there/EX
were/VBD --> be/VBD
tin/NN --> tin/NN
spoons/NNS --> spoon/NNS
,/, --> ,/,
and/CC --> and/CC
lead/NN --> lead/NN
knives/NNS --> knife/NNS
and/CC --> and/CC
forks/NNS --> fork/NNS
,/, --> ,/,
and/CC --> and/CC
two/CD --> two/CD
dolly-chairs/NNS --> dolly-chairs/NNS
--/: --> --/:
all/DT --> all/DT
SO/RB --> so/RB
convenient/JJ --> convenient/JJ
!/. --> !/.
TOM/NNP --> TOM/NNP
THUMB/NNP --> THUMB/NNP
set/VBD --> set/VBD
to/TO --> to/TO
work/VB --> work/VB
at/IN --> at/IN
once/RB --> once/RB
to/TO --> to/TO
carve/VB --> carve/VB
the/DT --> the/DT
ham/NN --> ham/NN
./. --> ./.
It/PRP --> it/PRP
was/VBD --> be/VBD
a/DT --> a/DT
beautiful/JJ --> beautiful/JJ
shiny/JJ --> shiny/JJ
yellow/NN --> yellow/NN
,/, --> ,/,
streaked/VBN --> streak/VBN
with/IN --> with/IN
red/JJ --> red/JJ
./. --> ./.
The/DT --> the/DT
knife/NN --> knife/NN
crumpled/VBD --> crumple/VBD
up/RB --> up/RB
and/CC --> and/CC
hurt/VB --> hurt/VB
him/PRP --> he/PRP
;/: --> ;/:
he/PRP --> he/PRP
put/VBD --> put/VBD
his/PRP$ --> he/PRP$
finger/NN --> finger/NN
in/IN --> in/IN
his/PRP$ --> he/PRP$
mouth/NN --> mouth/NN
./. --> ./.
``/`` --> ``/``
It/PRP --> it/PRP
is/VBZ --> be/VBZ
not/RB --> not/RB
boiled/VBN --> boil/VBN
enough/RB --> enough/RB
;/: --> ;/:
it/PRP --> it/PRP
is/VBZ --> be/VBZ
hard/JJ --> hard/JJ
./. --> ./.
You/PRP --> you/PRP
have/VBP --> have/VBP
a/DT --> a/DT
try/NN --> try/NN
,/, --> ,/,
Hunca/NNP --> Hunca/NNP
Munca/NNP --> Munca/NNP
./. --> ./.
''/'' --> ''/''
HUNCA/NNP --> HUNCA/NNP
MUNCA/NNP --> MUNCA/NNP
stood/VBD --> stand/VBD
up/RP --> up/RP
in/IN --> in/IN
her/PRP$ --> she/PRP$
chair/NN --> chair/NN
,/, --> ,/,
and/CC --> and/CC
chopped/VBD --> chop/VBD
at/IN --> at/IN
the/DT --> the/DT
ham/NN --> ham/NN
with/IN --> with/IN
another/DT --> another/DT
lead/NN --> lead/NN
knife/NN --> knife/NN
./. --> ./.
``/`` --> ``/``
It/PRP --> it/PRP
's/VBZ --> be/VBZ
as/RB --> as/RB
hard/JJ --> hard/JJ
as/IN --> as/IN
the/DT --> the/DT
hams/NNS --> ham/NNS
at/IN --> at/IN
the/DT --> the/DT
cheesemonger/NN --> cheesemonger/NN
's/POS --> 's/POS
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
Hunca/NNP --> Hunca/NNP
Munca/NNP --> Munca/NNP
./. --> ./.
THE/DT --> the/DT
ham/NN --> ham/NN
broke/VBD --> break/VBD
off/RP --> off/RP
the/DT --> the/DT
plate/NN --> plate/NN
with/IN --> with/IN
a/DT --> a/DT
jerk/NN --> jerk/NN
,/, --> ,/,
and/CC --> and/CC
rolled/VBD --> roll/VBD
under/IN --> under/IN
the/DT --> the/DT
table/NN --> table/NN
./. --> ./.
``/`` --> ``/``
Let/VB --> let/VB
it/PRP --> it/PRP
alone/RB --> alone/RB
,/, --> ,/,
''/'' --> ''/''
said/VBD --> say/VBD
Tom/NNP --> Tom/NNP
Thumb/NNP --> Thumb/NNP
;/: --> ;/:
``/`` --> ``/``
give/VB --> give/VB
me/PRP --> I/PRP
some/DT --> some/DT
fish/NN --> fish/NN
,/, --> ,/,
Hunca/NNP --> Hunca/NNP
Munca/NNP --> Munca/NNP
!/. --> !/.
''/'' --> ''/''
HUNCA/NNP --> HUNCA/NNP
MUNCA/NNP --> MUNCA/NNP
tried/VBD --> try/VBD
every/DT --> every/DT
tin/NN --> tin/NN
spoon/NN --> spoon/NN
in/IN --> in/IN
turn/NN --> turn/NN
;/: --> ;/:
the/DT --> the/DT
fish/NN --> fish/NN
was/VBD --> be/VBD
glued/VBN --> glue/VBN
to/TO --> to/TO
the/DT --> the/DT
dish/NN --> dish/NN
./. --> ./.
Then/RB --> then/RB
Tom/NNP --> Tom/NNP
Thumb/NNP --> Thumb/NNP
lost/VBD --> lose/VBD
his/PRP$ --> he/PRP$
temper/NN --> temper/NN
./. --> ./.
He/PRP --> he/PRP
put/VBD --> put/VBD
the/DT --> the/DT
ham/NN --> ham/NN
in/IN --> in/IN
the/DT --> the/DT
middle/NN --> middle/NN
of/IN --> of/IN
the/DT --> the/DT
floor/NN --> floor/NN
,/, --> ,/,
and/CC --> and/CC
hit/VBD --> hit/VBD
it/PRP --> it/PRP
with/IN --> with/IN
the/DT --> the/DT
tongs/NNS --> tong/NNS
and/CC --> and/CC
with/IN --> with/IN
the/DT --> the/DT
shovel/NN --> shovel/NN
--/: --> --/:
bang/NN --> bang/NN
,/, --> ,/,
bang/NN --> bang/NN
,/, --> ,/,
smash/NN --> smash/NN
,/, --> ,/,
smash/VB --> smash/VB
!/. --> !/.
The/DT --> the/DT
ham/NN --> ham/NN
