<title>/IN --> IN/IN
103/CD --> 103/CD
Sweet/NNP --> Sweet/NNP
Porridge/NNP --> Porridge/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
THERE/NNP --> THERE/NNP
was/VBD --> be/VBD
a/DT --> a/DT
poor/JJ --> poor/JJ
but/CC --> but/CC
good/JJ --> good/JJ
little/JJ --> little/JJ
girl/NN --> girl/NN
who/WP --> who/WP
lived/VBD --> live/VBD
alone/RB --> alone/RB
with/IN --> with/IN
her/PRP$ --> she/PRP$
mother/NN --> mother/NN
,/, --> ,/,
and/CC --> and/CC
they/PRP --> they/PRP
no/RB --> no/RB
longer/RBR --> longer/RBR
had/VBD --> have/VBD
anything/NN --> anything/NN
to/TO --> to/TO
eat/VB --> eat/VB
./. --> ./.
So/IN --> so/IN
the/DT --> the/DT
child/NN --> child/NN
went/VBD --> go/VBD
into/IN --> into/IN
the/DT --> the/DT
forest/NN --> forest/NN
,/, --> ,/,
and/CC --> and/CC
there/EX --> there/EX
an/DT --> a/DT
aged/VBN --> age/VBN
woman/NN --> woman/NN
met/VBD --> meet/VBD
her/PRP --> she/PRP
who/WP --> who/WP
was/VBD --> be/VBD
aware/JJ --> aware/JJ
of/IN --> of/IN
her/PRP$ --> she/PRP$
sorrow/NN --> sorrow/NN
,/, --> ,/,
and/CC --> and/CC
presented/VBD --> present/VBD
her/PRP --> she/PRP
with/IN --> with/IN
a/DT --> a/DT
little/JJ --> little/JJ
pot/NN --> pot/NN
,/, --> ,/,
which/WDT --> which/WDT
when/WRB --> when/WRB
she/PRP --> she/PRP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Cook/NNP --> Cook/NNP
,/, --> ,/,
little/JJ --> little/JJ
pot/NN --> pot/NN
,/, --> ,/,
cook/NN --> cook/NN
,/, --> ,/,
''/'' --> ''/''
would/MD --> would/MD
cook/VB --> cook/VB
good/JJ --> good/JJ
,/, --> ,/,
sweet/JJ --> sweet/JJ
