<title>/IN --> IN/IN
105/CD --> 105/CD
Stories/NNP --> Stories/NNP
about/IN --> about/IN
Snakes/NNP --> Snakes/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
First/NNP --> First/NNP
Story/NNP --> Story/NNP
./. --> ./.
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
a/DT --> a/DT
little/JJ --> little/JJ
child/NN --> child/NN
whose/WP$ --> whose/WP$
mother/NN --> mother/NN
gave/VBD --> give/VBD
her/PRP --> she/PRP
every/DT --> every/DT
afternoon/NN --> afternoon/NN
a/DT --> a/DT
small/JJ --> small/JJ
bowl/NN --> bowl/NN
of/IN --> of/IN
milk/NN --> milk/NN
and/CC --> and/CC
bread/NN --> bread/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
child/NN --> child/NN
seated/VBD --> seat/VBD
herself/PRP --> herself/PRP
in/IN --> in/IN
the/DT --> the/DT
yard/NN --> yard/NN
with/IN --> with/IN
it/PRP --> it/PRP
./. --> ./.
When/WRB --> when/WRB
she/PRP --> she/PRP
began/VBD --> begin/VBD
to/TO --> to/TO
eat/VB --> eat/VB
however/RB --> however/RB
,/, --> ,/,
a/DT --> a/DT
snake/NN --> snake/NN
came/VBD --> come/VBD
creeping/VBG --> creep/VBG
out/IN --> out/IN
of/IN --> of/IN
a/DT --> a/DT
crevice/NN --> crevice/NN
in/IN --> in/IN
the/DT --> the/DT
wall/NN --> wall/NN
,/, --> ,/,
dipped/VBD --> dip/VBD
its/PRP$ --> its/PRP$
little/JJ --> little/JJ
head/NN --> head/NN
in/IN --> in/IN
the/DT --> the/DT
dish/NN --> dish/NN
,/, --> ,/,
and/CC --> and/CC
ate/VBD --> eat/VBD
with/IN --> with/IN
her/PRP --> she/PRP
./. --> ./.
The/DT --> the/DT
child/NN --> child/NN
had/VBD --> have/VBD
pleasure/NN --> pleasure/NN
in/IN --> in/IN
this/DT --> this/DT
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
she/PRP --> she/PRP
was/VBD --> be/VBD
sitting/VBG --> sit/VBG
there/RB --> there/RB
with/IN --> with/IN
her/PRP$ --> she/PRP$
little/JJ --> little/JJ
dish/NN --> dish/NN
and/CC --> and/CC
the/DT --> the/DT
snake/NN --> snake/NN
did/VBD --> do/VBD
not/RB --> not/RB
come/VBN --> come/VBN
at/IN --> at/IN
once/RB --> once/RB
,/, --> ,/,
she/PRP --> she/PRP
cried/VBD --> cry/VBD
,/, --> ,/,
``/`` --> ``/``
Snake/NNP --> Snake/NNP
,/, --> ,/,
snake/NN --> snake/NN
,/, --> ,/,
come/VBN --> come/VBN
swiftly/RB --> swiftly/RB
Hither/RB --> hither/RB
come/VB --> come/VB
,/, --> ,/,
thou/VB --> thou/VB
tiny/JJ --> tiny/JJ
thing/NN --> thing/NN
,/, --> ,/,
Thou/NNP --> Thou/NNP
shalt/NN --> shalt/NN
have/VBP --> have/VBP
thy/JJ --> thy/JJ
crumbs/NNS --> crumb/NNS
of/IN --> of/IN
bread/NN --> bread/NN
,/, --> ,/,
Thou/NNP --> Thou/NNP
shalt/VBD --> shalt/VBD
refresh/JJ --> refresh/JJ
thyself/NN --> thyself/NN
with/IN --> with/IN
milk/NN --> milk/NN
./. --> ./.
''/'' --> ''/''
Then/RB --> then/RB
the/DT --> the/DT
snake/NN --> snake/NN
came/VBD --> come/VBD
in/IN --> in/IN
haste/NN --> haste/NN
,/, --> ,/,
and/CC --> and/CC
enjoyed/VBD --> enjoy/VBD
its/PRP$ --> its/PRP$
food/NN --> food/NN
./. --> ./.
Moreover/RB --> moreover/RB
it/PRP --> it/PRP
showed/VBD --> show/VBD
gratitude/NN --> gratitude/NN
,/, --> ,/,
for/IN --> for/IN
it/PRP --> it/PRP
brought/VBD --> bring/VBD
the/DT --> the/DT
child/NN --> child/NN
all/DT --> all/DT
kinds/NNS --> kind/NNS
of/IN --> of/IN
pretty/JJ --> pretty/JJ
things/NNS --> thing/NNS
from/IN --> from/IN
its/PRP$ --> its/PRP$
hidden/JJ --> hidden/JJ
treasures/NNS --> treasure/NNS
,/, --> ,/,
bright/JJ --> bright/JJ
stones/NNS --> stone/NNS
,/, --> ,/,
pearls/NNS --> pearl/NNS
,/, --> ,/,
and/CC --> and/CC
golden/JJ --> golden/JJ
playthings/NNS --> plaything/NNS
./. --> ./.
The/DT --> the/DT
snake/NN --> snake/NN
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
only/RB --> only/RB
drank/VB --> drink/VB
the/DT --> the/DT
milk/NN --> milk/NN
,/, --> ,/,
and/CC --> and/CC
left/VBD --> leave/VBD
the/DT --> the/DT
bread-crumbs/NNS --> bread-crumbs/NNS
alone/RB --> alone/RB
./. --> ./.
Then/RB --> then/RB
one/CD --> one/CD
day/NN --> day/NN
the/DT --> the/DT
child/NN --> child/NN
took/VBD --> take/VBD
its/PRP$ --> its/PRP$
little/JJ --> little/JJ
spoon/NN --> spoon/NN
and/CC --> and/CC
struck/VBD --> strike/VBD
the/DT --> the/DT
snake/NN --> snake/NN
gently/RB --> gently/RB
on/IN --> on/IN
its/PRP$ --> its/PRP$
head/NN --> head/NN
with/IN --> with/IN
it/PRP --> it/PRP
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Eat/VB --> eat/VB
the/DT --> the/DT
bread-crumbs/NNS --> bread-crumbs/NNS
as/RB --> as/RB
well/RB --> well/RB
,/, --> ,/,
little/JJ --> little/JJ
thing/NN --> thing/NN
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
mother/NN --> mother/NN
,/, --> ,/,
who/WP --> who/WP
was/VBD --> be/VBD
standing/VBG --> stand/VBG
in/IN --> in/IN
the/DT --> the/DT
kitchen/NN --> kitchen/NN
,/, --> ,/,
heard/VBD --> hear/VBD
the/DT --> the/DT
child/NN --> child/NN
talking/VBG --> talk/VBG
to/TO --> to/TO
someone/NN --> someone/NN
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
she/PRP --> she/PRP
saw/VBD --> see/VBD
that/IN --> that/IN
she/PRP --> she/PRP
was/VBD --> be/VBD
striking/VBG --> strike/VBG
a/DT --> a/DT
snake/NN --> snake/NN
with/IN --> with/IN
her/PRP$ --> she/PRP$
spoon/NN --> spoon/NN
,/, --> ,/,
ran/VBD --> run/VBD
out/RP --> out/RP
with/IN --> with/IN
a/DT --> a/DT
log/VB --> log/VB
of/IN --> of/IN
wood/NN --> wood/NN
,/, --> ,/,
and/CC --> and/CC
killed/VBD --> kill/VBD
the/DT --> the/DT
good/JJ --> good/JJ
little/JJ --> little/JJ
creature/NN --> creature/NN
./. --> ./.
From/IN --> from/IN
that/DT --> that/DT
time/NN --> time/NN
forth/RB --> forth/RB
,/, --> ,/,
a/DT --> a/DT
change/NN --> change/NN
came/VBD --> come/VBD
over/IN --> over/IN
the/DT --> the/DT
child/NN --> child/NN
./. --> ./.
As/RB --> as/RB
long/RB --> long/RB
as/IN --> as/IN
the/DT --> the/DT
snake/NN --> snake/NN
had/VBD --> have/VBD
eaten/VBN --> eat/VBN
with/IN --> with/IN
her/PRP --> she/PRP
,/, --> ,/,
she/PRP --> she/PRP
had/VBD --> have/VBD
grown/VBN --> grow/VBN
tall/JJ --> tall/JJ
and/CC --> and/CC
strong/JJ --> strong/JJ
,/, --> ,/,
but/CC --> but/CC
now/RB --> now/RB
she/PRP --> she/PRP
lost/VBD --> lose/VBD
her/PRP --> she/PRP
pretty/RB --> pretty/RB
rosy/JJ --> rosy/JJ
cheeks/NNS --> cheek/NNS
and/CC --> and/CC
wasted/VBN --> waste/VBN
away/RB --> away/RB
./. --> ./.
It/PRP --> it/PRP
was/VBD --> be/VBD
not/RB --> not/RB
long/RB --> long/RB
before/IN --> before/IN
the/DT --> the/DT
funeral/JJ --> funeral/JJ
bird/NN --> bird/NN
began/VBD --> begin/VBD
to/TO --> to/TO
cry/VB --> cry/VB
in/IN --> in/IN
the/DT --> the/DT
night/NN --> night/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
redbreast/NN --> redbreast/NN
to/TO --> to/TO
collect/VB --> collect/VB
little/JJ --> little/JJ
branches/NNS --> branch/NNS
and/CC --> and/CC
leaves/NNS --> leaf/NNS
for/IN --> for/IN
a/DT --> a/DT
funeral/JJ --> funeral/JJ
garland/NN --> garland/NN
,/, --> ,/,
and/CC --> and/CC
soon/RB --> soon/RB
afterwards/RB --> afterwards/RB
the/DT --> the/DT
child/NN --> child/NN
lay/VBD --> lay/VBD
on/IN --> on/IN
her/PRP$ --> she/PRP$
bier/NN --> bier/NN
./. --> ./.
Second/NNP --> Second/NNP
Story/NNP --> Story/NNP
./. --> ./.
An/DT --> a/DT
orphan/JJ --> orphan/JJ
child/NN --> child/NN
was/VBD --> be/VBD
sitting/VBG --> sit/VBG
on/IN --> on/IN
the/DT --> the/DT
town/NN --> town/NN
walls/NNS --> wall/NNS
spinning/JJ --> spinning/JJ
,/, --> ,/,
when/WRB --> when/WRB
she/PRP --> she/PRP
saw/VBD --> see/VBD
a/DT --> a/DT
snake/NN --> snake/NN
coming/VBG --> come/VBG
out/IN --> out/IN
of/IN --> of/IN
a/DT --> a/DT
hole/NN --> hole/NN
low/JJ --> low/JJ
down/RB --> down/RB
in/IN --> in/IN
the/DT --> the/DT
wall/NN --> wall/NN
./. --> ./.
Swiftly/RB --> swiftly/RB
she/PRP --> she/PRP
spread/VBD --> spread/VBD
out/RP --> out/RP
beside/IN --> beside/IN
this/DT --> this/DT
one/CD --> one/CD
of/IN --> of/IN
the/DT --> the/DT
blue/JJ --> blue/JJ
silk/NN --> silk/NN
handkerchiefs/NNS --> handkerchief/NNS
which/WDT --> which/WDT
snakes/NNS --> snake/NNS
have/VBP --> have/VBP
such/JJ --> such/JJ
a/DT --> a/DT
strong/JJ --> strong/JJ
liking/NN --> liking/NN
for/IN --> for/IN
,/, --> ,/,
and/CC --> and/CC
which/WDT --> which/WDT
are/VBP --> be/VBP
the/DT --> the/DT
only/JJ --> only/JJ
things/NNS --> thing/NNS
they/PRP --> they/PRP
will/MD --> will/MD
creep/VB --> creep/VB
on/IN --> on/IN
./. --> ./.
As/IN --> as/IN
soon/RB --> soon/RB
as/IN --> as/IN
the/DT --> the/DT
snake/NN --> snake/NN
saw/VBD --> see/VBD
it/PRP --> it/PRP
,/, --> ,/,
it/PRP --> it/PRP
went/VBD --> go/VBD
back/RB --> back/RB
,/, --> ,/,
then/RB --> then/RB
returned/VBD --> return/VBD
,/, --> ,/,
bringing/VBG --> bring/VBG
with/IN --> with/IN
it/PRP --> it/PRP
a/DT --> a/DT
small/JJ --> small/JJ
golden/JJ --> golden/JJ
crown/NN --> crown/NN
,/, --> ,/,
laid/VBD --> lay/VBD
it/PRP --> it/PRP
on/IN --> on/IN
the/DT --> the/DT
handkerchief/NN --> handkerchief/NN
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
went/VBD --> go/VBD
away/RB --> away/RB
again/RB --> again/RB
./. --> ./.
The/DT --> the/DT
girl/NN --> girl/NN
took/VBD --> take/VBD
up/RP --> up/RP
the/DT --> the/DT
crown/NN --> crown/NN
,/, --> ,/,
it/PRP --> it/PRP
glittered/VBD --> glitter/VBD
and/CC --> and/CC
was/VBD --> be/VBD
of/IN --> of/IN
delicate/JJ --> delicate/JJ
golden/JJ --> golden/JJ
filagree/NN --> filagree/NN
work/NN --> work/NN
./. --> ./.
It/PRP --> it/PRP
was/VBD --> be/VBD
not/RB --> not/RB
long/RB --> long/RB
before/IN --> before/IN
the/DT --> the/DT
snake/NN --> snake/NN
came/VBD --> come/VBD
back/RB --> back/RB
for/IN --> for/IN
the/DT --> the/DT
second/JJ --> second/JJ
time/NN --> time/NN
,/, --> ,/,
but/CC --> but/CC
when/WRB --> when/WRB
it/PRP --> it/PRP
no/RB --> no/RB
longer/RB --> longer/RB
saw/VBD --> see/VBD
the/DT --> the/DT
crown/NN --> crown/NN
,/, --> ,/,
it/PRP --> it/PRP
crept/VBD --> creep/VBD
up/RP --> up/RP
to/TO --> to/TO
the/DT --> the/DT
wall/NN --> wall/NN
,/, --> ,/,
and/CC --> and/CC
in/IN --> in/IN
its/PRP$ --> its/PRP$
grief/NN --> grief/NN
smote/VB --> smite/VB
its/PRP$ --> its/PRP$
little/JJ --> little/JJ
head/NN --> head/NN
against/IN --> against/IN
it/PRP --> it/PRP
as/RB --> as/RB
long/RB --> long/RB
as/IN --> as/IN
it/PRP --> it/PRP
had/VBD --> have/VBD
strength/NN --> strength/NN
to/TO --> to/TO
do/VB --> do/VB
so/RB --> so/RB
,/, --> ,/,
until/IN --> until/IN
at/IN --> at/IN
last/JJ --> last/JJ
it/PRP --> it/PRP
lay/VBD --> lay/VBD
there/RB --> there/RB
dead/JJ --> dead/JJ
./. --> ./.
If/IN --> if/IN
the/DT --> the/DT
girl/NN --> girl/NN
had/VBD --> have/VBD
but/CC --> but/CC
left/VBD --> leave/VBD
the/DT --> the/DT
crown/NN --> crown/NN
where/WRB --> where/WRB
it/PRP --> it/PRP
was/VBD --> be/VBD
,/, --> ,/,
the/DT --> the/DT
snake/NN --> snake/NN
would/MD --> would/MD
certainly/RB --> certainly/RB
have/VB --> have/VB
brought/VBN --> bring/VBN
still/RB --> still/RB
more/JJR --> more/JJR
of/IN --> of/IN
its/PRP$ --> its/PRP$
treasures/NNS --> treasure/NNS
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
hole/NN --> hole/NN
./. --> ./.
Third/NNP --> Third/NNP
Story/NNP --> Story/NNP
./. --> ./.
A/DT --> a/DT
snake/NN --> snake/NN
cries/VBZ --> cry/VBZ
,/, --> ,/,
``/`` --> ``/``
Huhu/NNP --> Huhu/NNP
,/, --> ,/,
huhu/NN --> huhu/NN
./. --> ./.
''/'' --> ''/''
A/DT --> a/DT
child/NN --> child/NN
says/VBZ --> say/VBZ
,/, --> ,/,
``/`` --> ``/``
Come/VBN --> come/VBN
out/RP --> out/RP
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
snake/NN --> snake/NN
comes/VBZ --> come/VBZ
out/RP --> out/RP
,/, --> ,/,
then/RB --> then/RB
the/DT --> the/DT
child/NN --> child/NN
inquires/VBZ --> inquire/VBZ
about/IN --> about/IN
her/PRP$ --> she/PRP$
little/JJ --> little/JJ
sister/NN --> sister/NN
:/: --> :/:
``/`` --> ``/``
Hast/JJ --> hast/JJ
thou/NN --> thou/NN
not/RB --> not/RB
seen/VBN --> see/VBN
little/JJ --> little/JJ
Red-stockings/NNS --> red-stockings/NNS
?/. --> ?/.
''/'' --> ''/''
The/DT --> the/DT
snake/NN --> snake/NN
says/VBZ --> say/VBZ
,/, --> ,/,
``/`` --> ``/``
No./NN --> no./NN
''/'' --> ''/''
``/`` --> ``/``
Neither/DT --> neither/DT
have/VBP --> have/VBP
I./NN --> i./NN
''/'' --> ''/''
``/`` --> ``/``
Then/RB --> then/RB
I/PRP --> I/PRP
am/VBP --> be/VBP
like/IN --> like/IN
you/PRP --> you/PRP
./. --> ./.
Huhu/NNP --> Huhu/NNP
,/, --> ,/,
huhu/NN --> huhu/NN
,/, --> ,/,
huhu/NN --> huhu/NN
./. --> ./.
''/'' --> ''/''
