<title>/IN --> IN/IN
93/CD --> 93/CD
The/DT --> the/DT
Raven/NNP --> Raven/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
upon/IN --> upon/IN
a/DT --> a/DT
time/NN --> time/NN
a/DT --> a/DT
Queen/NNP --> Queen/NNP
who/WP --> who/WP
had/VBD --> have/VBD
a/DT --> a/DT
little/JJ --> little/JJ
daughter/NN --> daughter/NN
who/WP --> who/WP
was/VBD --> be/VBD
still/RB --> still/RB
so/RB --> so/RB
young/JJ --> young/JJ
that/IN --> that/IN
she/PRP --> she/PRP
had/VBD --> have/VBD
to/TO --> to/TO
be/VB --> be/VB
carried/VBN --> carry/VBN
./. --> ./.
One/CD --> one/CD
day/NN --> day/NN
the/DT --> the/DT
child/NN --> child/NN
was/VBD --> be/VBD
naughty/JJ --> naughty/JJ
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
mother/NN --> mother/NN
might/MD --> might/MD
say/VB --> say/VB
what/WP --> what/WP
she/PRP --> she/PRP
liked/VBD --> like/VBD
,/, --> ,/,
but/CC --> but/CC
the/DT --> the/DT
child/NN --> child/NN
would/MD --> would/MD
not/RB --> not/RB
be/VB --> be/VB
quiet/JJ --> quiet/JJ
./. --> ./.
Then/RB --> then/RB
she/PRP --> she/PRP
became/VBD --> become/VBD
impatient/JJ --> impatient/JJ
,/, --> ,/,
and/CC --> and/CC
as/IN --> as/IN
the/DT --> the/DT
ravens/NNS --> raven/NNS
were/VBD --> be/VBD
flying/VBG --> fly/VBG
about/IN --> about/IN
the/DT --> the/DT
palace/NN --> palace/NN
,/, --> ,/,
she/PRP --> she/PRP
opened/VBD --> open/VBD
the/DT --> the/DT
window/NN --> window/NN
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
wish/VBP --> wish/VBP
you/PRP --> you/PRP
were/VBD --> be/VBD
a/DT --> a/DT
raven/NN --> raven/NN
and/CC --> and/CC
would/MD --> would/MD
fly/VB --> fly/VB
away/RB --> away/RB
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
I/PRP --> I/PRP
should/MD --> should/MD
have/VB --> have/VB
some/DT --> some/DT
rest/NN --> rest/NN
./. --> ./.
''/'' --> ''/''
Scarcely/RB --> scarcely/RB
had/VBD --> have/VBD
she/PRP --> she/PRP
spoken/VBD --> speak/VBD
the/DT --> the/DT
words/NNS --> word/NNS
,/, --> ,/,
before/IN --> before/IN
the/DT --> the/DT
child/NN --> child/NN
was/VBD --> be/VBD
changed/VBN --> change/VBN
into/IN --> into/IN
a/DT --> a/DT
raven/NN --> raven/NN
,/, --> ,/,
and/CC --> and/CC
flew/VBD --> fly/VBD
from/IN --> from/IN
her/PRP$ --> she/PRP$
arms/NNS --> arm/NNS
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
window/NN --> window/NN
./. --> ./.
It/PRP --> it/PRP
flew/VBD --> fly/VBD
into/IN --> into/IN
a/DT --> a/DT
dark/JJ --> dark/JJ
forest/NN --> forest/NN
,/, --> ,/,
and/CC --> and/CC
stayed/VBD --> stay/VBD
in/IN --> in/IN
it/PRP --> it/PRP
a/DT --> a/DT
long/JJ --> long/JJ
time/NN --> time/NN
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
parents/NNS --> parent/NNS
heard/VBD --> hear/VBD
nothing/NN --> nothing/NN
of/IN --> of/IN
their/PRP$ --> they/PRP$
child/NN --> child/NN
./. --> ./.
Then/RB --> then/RB
one/CD --> one/CD
day/NN --> day/NN
a/DT --> a/DT
man/NN --> man/NN
was/VBD --> be/VBD
on/IN --> on/IN
his/PRP$ --> he/PRP$
way/NN --> way/NN
through/IN --> through/IN
this/DT --> this/DT
forest/NN --> forest/NN
and/CC --> and/CC
heard/VBD --> hear/VBD
the/DT --> the/DT
raven/NN --> raven/NN
crying/VBG --> cry/VBG
,/, --> ,/,
and/CC --> and/CC
followed/VBD --> follow/VBD
the/DT --> the/DT
voice/NN --> voice/NN
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
he/PRP --> he/PRP
came/VBD --> come/VBD
nearer/IN --> nearer/IN
,/, --> ,/,
the/DT --> the/DT
bird/NN --> bird/NN
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
I/PRP --> I/PRP
am/VBP --> be/VBP
a/DT --> a/DT
king/NN --> king/NN
's/POS --> 's/POS
daughter/NN --> daughter/NN
by/IN --> by/IN
birth/NN --> birth/NN
,/, --> ,/,
and/CC --> and/CC
am/VBP --> be/VBP
bewitched/VBN --> bewitch/VBN
,/, --> ,/,
but/CC --> but/CC
thou/NN --> thou/NN
canst/NN --> canst/NN
set/VBD --> set/VBD
me/PRP --> I/PRP
free/JJ --> free/JJ
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
What/WP --> what/WP
am/VBP --> be/VBP
I/PRP --> I/PRP
to/TO --> to/TO
do/VB --> do/VB
,/, --> ,/,
''/'' --> ''/''
asked/VBD --> ask/VBD
he/PRP --> he/PRP
./. --> ./.
She/PRP --> she/PRP
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
Go/VB --> go/VB
further/RB --> further/RB
into/IN --> into/IN
the/DT --> the/DT
forest/NN --> forest/NN
,/, --> ,/,
and/CC --> and/CC
thou/NN --> thou/NN
wilt/NN --> wilt/NN
find/VB --> find/VB
a/DT --> a/DT
house/NN --> house/NN
,/, --> ,/,
wherein/NN --> wherein/NN
sits/VBZ --> sit/VBZ
an/DT --> a/DT
aged/VBN --> age/VBN
woman/NN --> woman/NN
,/, --> ,/,
who/WP --> who/WP
will/MD --> will/MD
offer/VB --> offer/VB
thee/NN --> thee/NN
meat/NN --> meat/NN
and/CC --> and/CC
drink/NN --> drink/NN
,/, --> ,/,
but/CC --> but/CC
you/PRP --> you/PRP
must/MD --> must/MD
accept/VB --> accept/VB
