<title>/IN --> IN/IN
36/CD --> 36/CD
The/DT --> the/DT
Wishing-Table/JJ --> wishing-table/JJ
,/, --> ,/,
the/DT --> the/DT
Gold-Ass/NNP --> Gold-Ass/NNP
,/, --> ,/,
and/CC --> and/CC
the/DT --> the/DT
Cudgel/NNP --> Cudgel/NNP
in/IN --> in/IN
the/DT --> the/DT
Sack/NNP --> Sack/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
was/VBD --> be/VBD
once/RB --> once/RB
upon/IN --> upon/IN
a/DT --> a/DT
time/NN --> time/NN
a/DT --> a/DT
tailor/NN --> tailor/NN
who/WP --> who/WP
had/VBD --> have/VBD
three/CD --> three/CD
sons/NNS --> son/NNS
,/, --> ,/,
and/CC --> and/CC
only/RB --> only/RB
one/CD --> one/CD
goat/NN --> goat/NN
./. --> ./.
But/CC --> but/CC
as/IN --> as/IN
the/DT --> the/DT
goat/NN --> goat/NN
supported/VBD --> support/VBD
the/DT --> the/DT
whole/NN --> whole/NN
of/IN --> of/IN
them/PRP --> they/PRP
with/IN --> with/IN
her/PRP$ --> she/PRP$
milk/NN --> milk/NN
,/, --> ,/,
she/PRP --> she/PRP
was/VBD --> be/VBD
obliged/VBN --> oblige/VBN
to/TO --> to/TO
have/VB --> have/VB
good/JJ --> good/JJ
food/NN --> food/NN
,/, --> ,/,
and/CC --> and/CC
to/TO --> to/TO
be/VB --> be/VB
taken/VBN --> take/VBN
every/DT --> every/DT
day/NN --> day/NN
to/TO --> to/TO
pasture/NN --> pasture/NN
./. --> ./.
The/DT --> the/DT
sons/NNS --> son/NNS
,/, --> ,/,
therefore/RB --> therefore/RB
,/, --> ,/,
did/VBD --> do/VBD
this/DT --> this/DT
,/, --> ,/,
in/IN --> in/IN
turn/NN --> turn/NN
./. --> ./.
Once/RB --> once/RB
the/DT --> the/DT
eldest/JJS --> eldest/JJS
took/VBD --> take/VBD
her/PRP$ --> she/PRP$
to/TO --> to/TO
the/DT --> the/DT
churchyard/NN --> churchyard/NN
,/, --> ,/,
where/WRB --> where/WRB
the/DT --> the/DT
finest/JJS --> finest/JJS
herbs/NNS --> herb/NNS
were/VBD --> be/VBD
to/TO --> to/TO
be/VB --> be/VB
found/VBN --> find/VBN
,/, --> ,/,
and/CC --> and/CC
let/VB --> let/VB
her/PRP --> she/PRP
