<title>/IN --> IN/IN
48/CD --> 48/CD
Old/NNP --> Old/NNP
Sultan/NNP --> Sultan/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
A/DT --> a/DT
farmer/NN --> farmer/NN
once/RB --> once/RB
had/VBD --> have/VBD
a/DT --> a/DT
faithful/JJ --> faithful/JJ
dog/NN --> dog/NN
called/VBN --> call/VBN
Sultan/NNP --> Sultan/NNP
,/, --> ,/,
who/WP --> who/WP
had/VBD --> have/VBD
grown/VBN --> grow/VBN
old/JJ --> old/JJ
,/, --> ,/,
and/CC --> and/CC
lost/VBD --> lose/VBD
all/DT --> all/DT
his/PRP$ --> he/PRP$
teeth/NNS --> tooth/NNS
,/, --> ,/,
so/RB --> so/RB
that/IN --> that/IN
he/PRP --> he/PRP
could/MD --> could/MD
no/RB --> no/RB
longer/RB --> longer/RB
hold/VB --> hold/VB
anything/NN --> anything/NN
fast/RB --> fast/RB
./. --> ./.
One/CD --> one/CD
day/NN --> day/NN
the/DT --> the/DT
farmer/NN --> farmer/NN
was/VBD --> be/VBD
standing/VBG --> stand/VBG
with/IN --> with/IN
his/PRP$ --> he/PRP$
wife/NN --> wife/NN
before/IN --> before/IN
the/DT --> the/DT
house-door/NN --> house-door/NN
,/, --> ,/,
and/CC --> and/CC
said/VBD --> say/VBD
,/, --> ,/,
``/`` --> ``/``
To-morrow/JJ --> to-morrow/JJ
I/PRP --> I/PRP
intend/VBP --> intend/VBP
to/TO --> to/TO
shoot/VB --> shoot/VB
Old/NNP --> Old/NNP
Sultan/NNP --> Sultan/NNP
,/, --> ,/,
he/PRP --> he/PRP
is/VBZ --> be/VBZ
no/RB --> no/RB
longer/RB --> longer/RB
of/IN --> of/IN
any/DT --> any/DT
use/NN --> use/NN
./. --> ./.
''/'' --> ''/''
His/PRP$ --> he/PRP$
wife/NN --> wife/NN
,/, --> ,/,
who/WP --> who/WP
felt/VBD --> feel/VBD
pity/NN --> pity/NN
for/IN --> for/IN
the/DT --> the/DT
faithful/JJ --> faithful/JJ
beast/NN --> beast/NN
,/, --> ,/,
answered/VBN --> answer/VBN
,/, --> ,/,
``/`` --> ``/``
He/PRP --> he/PRP
has/VBZ --> have/VBZ
served/VBN --> serve/VBN
us/PRP --> we/PRP
so/RB --> so/RB
long/RB --> long/RB
,/, --> ,/,
and/CC --> and/CC
been/VBN --> be/VBN
so/RB --> so/RB
faithful/JJ --> faithful/JJ
,/, --> ,/,
that/IN --> that/IN
we/PRP --> we/PRP
might/MD --> might/MD
well/RB --> well/RB
give/VB --> give/VB
him/PRP --> he/PRP
his/PRP$ --> he/PRP$
keep/VB --> keep/VB
./. --> ./.
''/'' --> ''/''
``/`` --> ``/``
Eh/NN --> eh/NN
!/. --> !/.
what/WP --> what/WP
?/. --> ?/.
''/'' --> ''/''
said/VBD --> say/VBD
the/DT --> the/DT
man/NN --> man/NN
./. --> ./.
``/`` --> ``/``
You/PRP --> you/PRP
are/VBP --> be/VBP
not/RB --> not/RB
very/RB --> very/RB
sharp/JJ --> sharp/JJ
./. --> ./.
He/PRP --> he/PRP
has/VBZ --> have/VBZ
not/RB --> not/RB
a/DT --> a/DT
tooth/NN --> tooth/NN
left/VBD --> leave/VBD
in/IN --> in/IN
his/PRP$ --> he/PRP$
mouth/NN --> mouth/NN
,/, --> ,/,
and/CC --> and/CC
not/RB --> not/RB
a/DT --> a/DT
thief/NN --> thief/NN
is/VBZ --> be/VBZ
afraid/JJ --> afraid/JJ
of/IN --> of/IN
him/PRP --> he/PRP
;/: --> ;/:
now/RB --> now/RB
he/PRP --> he/PRP
may/MD --> may/MD
be/VB --> be/VB
off/RB --> off/RB
./. --> ./.
If/IN --> if/IN
he/PRP --> he/PRP
has/VBZ --> have/VBZ
served/VBN --> serve/VBN
us/PRP --> we/PRP
,/, --> ,/,
he/PRP --> he/PRP
has/VBZ --> have/VBZ
had/VBN --> have/VBN
good/JJ --> good/JJ
feeding/NN --> feeding/NN
for/IN --> for/IN
it/PRP --> it/PRP
./. --> ./.
''/'' --> ''/''
The/DT --> the/DT
poor/JJ --> poor/JJ
dog/NN --> dog/NN
,/, --> ,/,
who/WP --> who/WP
was/VBD --> be/VBD
lying/VBG --> lie/VBG
stretched/VBN --> stretch/VBN
out/RP --> out/RP
in/IN --> in/IN
the/DT --> the/DT
sun/NN --> sun/NN
not/RB --> not/RB
far/RB --> far/RB
off/RB --> off/RB
,/, --> ,/,
had/VBD --> have/VBD
heard/VBN --> hear/VBN
everything/NN --> everything/NN
,/, --> ,/,
and/CC --> and/CC
was/VBD --> be/VBD
sorry/JJ --> sorry/JJ
that/IN --> that/IN
the/DT --> the/DT
morrow/NN --> morrow/NN
was/VBD --> be/VBD
to/TO --> to/TO
be/VB --> be/VB
his/PRP$ --> he/PRP$
last/JJ --> last/JJ
day/NN --> day/NN
