<title>/IN --> IN/IN
THE/DT --> the/DT
OLD/NNP --> OLD/NNP
BACHELOR/NNP --> BACHELOR/NNP
'S/VBZ --> be/VBZ
NIGHTCAP/NNP --> NIGHTCAP/NNP
./. --> ./.
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
H./NNP --> H./NNP
C./NNP --> C./NNP
Andersen/NNP --> Andersen/NNP
</author>/NNP --> NNP/NNP
There/EX --> there/EX
is/VBZ --> be/VBZ
a/DT --> a/DT
street/NN --> street/NN
in/IN --> in/IN
Copenhagen/NNP --> Copenhagen/NNP
that/WDT --> that/WDT
has/VBZ --> have/VBZ
this/DT --> this/DT
strange/JJ --> strange/JJ
name/NN --> name/NN
--/: --> --/:
``/`` --> ``/``
Hysken/NNP --> Hysken/NNP
Straede/NNP --> Straede/NNP
./. --> ./.
''/'' --> ''/''
Whence/NN --> whence/NN
comes/VBZ --> come/VBZ
this/DT --> this/DT
name/NN --> name/NN
,/, --> ,/,
and/CC --> and/CC
what/WP --> what/WP
is/VBZ --> be/VBZ
its/PRP$ --> its/PRP$
meaning/NN --> meaning/NN
?/. --> ?/.
It/PRP --> it/PRP
is/VBZ --> be/VBZ
said/VBN --> say/VBN
to/TO --> to/TO
be/VB --> be/VB
German/JJ --> german/JJ
;/: --> ;/:
but/CC --> but/CC
injustice/NN --> injustice/NN
has/VBZ --> have/VBZ
been/VBN --> be/VBN
done/VBN --> do/VBN
to/TO --> to/TO
the/DT --> the/DT
Germans/NNS --> german/NNS
in/IN --> in/IN
this/DT --> this/DT
matter/NN --> matter/NN
,/, --> ,/,
for/IN --> for/IN
it/PRP --> it/PRP
would/MD --> would/MD
have/VB --> have/VB
to/TO --> to/TO
be/VB --> be/VB
``/`` --> ``/``
Haeuschen/NNP --> Haeuschen/NNP
,/, --> ,/,
''/'' --> ''/''
and/CC --> and/CC
not/RB --> not/RB
``/`` --> ``/``
Hysken/NNP --> Hysken/NNP
./. --> ./.
''/'' --> ''/''
For/IN --> for/IN
here/RB --> here/RB
stood/VBN --> stand/VBN
,/, --> ,/,
once/RB --> once/RB
upon/IN --> upon/IN
a/DT --> a/DT
time/NN --> time/NN
,/, --> ,/,
and/CC --> and/CC
indeed/RB --> indeed/RB
for/IN --> for/IN
a/DT --> a/DT
great/JJ --> great/JJ
many/JJ --> many/JJ
years/NNS --> year/NNS
,/, --> ,/,
a/DT --> a/DT
few/JJ --> few/JJ
little/JJ --> little/JJ
houses/NNS --> house/NNS
,/, --> ,/,
which/WDT --> which/WDT
were/VBD --> be/VBD
principally/RB --> principally/RB
nothing/NN --> nothing/NN
more/JJR --> more/JJR
than/IN --> than/IN
wooden/JJ --> wooden/JJ
booths/NNS --> booth/NNS
,/, --> ,/,
just/RB --> just/RB
as/IN --> as/IN
we/PRP --> we/PRP
see/VBP --> see/VBP
now/RB --> now/RB
in/IN --> in/IN
the/DT --> the/DT
market-places/NNS --> market-places/NNS
at/IN --> at/IN
fair-time/JJ --> fair-time/JJ
./. --> ./.
They/PRP --> they/PRP
were/VBD --> be/VBD
,/, --> ,/,
perhaps/RB --> perhaps/RB
,/, --> ,/,
a/DT --> a/DT
little/JJ --> little/JJ
larger/JJR --> larger/JJR
,/, --> ,/,
and/CC --> and/CC
had/VBD --> have/VBD
windows/NNS --> window/NNS
;/: --> ;/:
but/CC --> but/CC
the/DT --> the/DT
panes/NNS --> pane/NNS
consisted/VBD --> consist/VBD
of/IN --> of/IN
horn/NN --> horn/NN
or/CC --> or/CC
bladder/NN --> bladder/NN
,/, --> ,/,
for/IN --> for/IN
glass/NN --> glass/NN
was/VBD --> be/VBD
then/RB --> then/RB
too/RB --> too/RB
expensive/JJ --> expensive/JJ
to/TO --> to/TO
be/VB --> be/VB
used/VBN --> use/VBN
in/IN --> in/IN
every/DT --> every/DT
house/NN --> house/NN
./. --> ./.
But/CC --> but/CC
then/RB --> then/RB
we/PRP --> we/PRP
are/VBP --> be/VBP
speaking/VBG --> speak/VBG
of/IN --> of/IN
a/DT --> a/DT
long/JJ --> long/JJ
time/NN --> time/NN
ago/RB --> ago/RB
--/: --> --/:
so/RB --> so/RB
long/RB --> long/RB
since/IN --> since/IN
,/, --> ,/,
that/IN --> that/IN
grandfather/NN --> grandfather/NN
and/CC --> and/CC
great-grandfather/NN --> great-grandfather/NN
,/, --> ,/,
when/WRB --> when/WRB
they/PRP --> they/PRP
talked/VBD --> talk/VBD
about/IN --> about/IN
them/PRP --> they/PRP
,/, --> ,/,
used/VBN --> use/VBN
to/TO --> to/TO
speak/VB --> speak/VB
of/IN --> of/IN
them/PRP --> they/PRP
as/IN --> as/IN
``/`` --> ``/``
the/DT --> the/DT
old/JJ --> old/JJ
times/NNS --> time/NNS
''/'' --> ''/''
--/: --> --/:
in/IN --> in/IN
fact/NN --> fact/NN
,/, --> ,/,
it/PRP --> it/PRP
is/VBZ --> be/VBZ
several/JJ --> several/JJ
