<title>/IN --> IN/IN
112/CD --> 112/CD
The/DT --> the/DT
Flail/NNP --> Flail/NNP
From/IN --> from/IN
Heaven/NNP --> Heaven/NNP
</title>/NNP --> NNP/NNP
<author>/NNP --> NNP/NNP
Brothers/NNPS --> Brothers/NNPS
Grimm/NNP --> Grimm/NNP
</author>/NNP --> NNP/NNP
A/NNP --> A/NNP
countryman/NN --> countryman/NN
was/VBD --> be/VBD
once/RB --> once/RB
going/VBG --> go/VBG
out/RP --> out/RP
to/TO --> to/TO
plough/VB --> plough/VB
with/IN --> with/IN
a/DT --> a/DT
pair/NN --> pair/NN
of/IN --> of/IN
oxen/NN --> ox/NN
./. --> ./.
When/WRB --> when/WRB
he/PRP --> he/PRP
got/VBD --> get/VBD
to/TO --> to/TO
the/DT --> the/DT
field/NN --> field/NN
,/, --> ,/,
both/CC --> both/CC
the/DT --> the/DT
animals/NNS --> animal/NNS
'/POS --> '/POS
horns/NNS --> horn/NNS
began/VBD --> begin/VBD
to/TO --> to/TO
grow/VB --> grow/VB
,/, --> ,/,
and/CC --> and/CC
went/VBD --> go/VBD
on/IN --> on/IN
growing/VBG --> grow/VBG
,/, --> ,/,
and/CC --> and/CC
when/WRB --> when/WRB
he/PRP --> he/PRP
wanted/VBD --> want/VBD
to/TO --> to/TO
go/VB --> go/VB
home/NN --> home/NN
they/PRP --> they/PRP
were/VBD --> be/VBD
so/RB --> so/RB
big/JJ --> big/JJ
that/IN --> that/IN
the/DT --> the/DT
oxen/NN --> ox/NN
could/MD --> could/MD
not/RB --> not/RB
get/VB --> get/VB
through/IN --> through/IN
the/DT --> the/DT
gateway/NN --> gateway/NN
for/IN --> for/IN
them/PRP --> they/PRP
./. --> ./.
By/IN --> by/IN
good/JJ --> good/JJ
luck/NN --> luck/NN
a/DT --> a/DT
butcher/NN --> butcher/NN
came/VBD --> come/VBD
by/IN --> by/IN
just/RB --> just/RB
then/RB --> then/RB
,/, --> ,/,
and/CC --> and/CC
he/PRP --> he/PRP
delivered/VBD --> deliver/VBD
them/PRP --> they/PRP
over/IN --> over/IN
to/TO --> to/TO
him/PRP --> he/PRP
,/, --> ,/,
and/CC --> and/CC
made/VBD --> make/VBD
the/DT --> the/DT
bargain/NN --> bargain/NN
in/IN --> in/IN
this/DT --> this/DT
way/NN --> way/NN
,/, --> ,/,
that/IN --> that/IN
he/PRP --> he/PRP
should/MD --> should/MD
take/VB --> take/VB
the/DT --> the/DT
butcher/NN --> butcher/NN
a/DT --> a/DT
measure/NN --> measure/NN
of/IN --> of/IN
turnip-seed/NN --> turnip-seed/NN
,/, --> ,/,
and/CC --> and/CC
then/RB --> then/RB
the/DT --> the/DT
butcher/NN --> butcher/NN
was/VBD --> be/VBD
to/TO --> to/TO
count/VB --> count/VB
him/PRP --> he/PRP
out/RP --> out/RP
a/DT --> a/DT
Brabant/JJ --> brabant/JJ
thaler/NN --> thaler/NN
for/IN --> for/IN
every/DT --> every/DT
seed/NN --> seed/NN
./. --> ./.
I/PRP --> I/PRP
call/VBP --> call/VBP
that/DT --> that/DT
well/RB --> well/RB
sold/VBN --> sell/VBN
!/. --> !/.
The/DT --> the/DT
peasant/NN --> peasant/NN
now/RB --> now/RB
went/VBD --> go/VBD
home/NN --> home/NN
,/, --> ,/,
and/CC --> and/CC
carried/VBD --> carry/VBD
the/DT --> the/DT
measure/NN --> measure/NN
of/IN --> of/IN
turnip-seed/JJ --> turnip-seed/JJ
to/TO --> to/TO
him/PRP --> he/PRP
on/IN --> on/IN
his/PRP$ --> he/PRP$
back/NN --> back/NN
./. --> ./.
On/IN --> on/IN
the/DT --> the/DT
way/NN --> way/NN
,/, --> ,/,
however/RB --> however/RB
,/, --> ,/,
he/PRP --> he/PRP
lost/VBD --> lose/VBD
one/CD --> one/CD
seed/NN --> seed/NN
out/IN --> out/IN
of/IN --> of/IN
the/DT --> the/DT
bag/NN --> bag/NN
./. --> ./.
The/DT --> the/DT
butcher/NN --> butcher/NN
paid/VBD --> pay/VBD
him/PRP --> he/PRP
justly/RB --> justly/RB
as/RB --> as/RB
agreed/VBN --> agree/VBN
